date,quarantine meaning,quarantine pass,home quarantine,quarantine tagalog,manila quarantine,time pandemic,bureau quarantine,quarantine status,essay pandemic,quarantine certificate,pandemic essay,new_cases
2020-03-10,6,0,2,4,0,0,0,0,0,0,0,0.3412969283276451
2020-03-11,4,0,2,6,0,0,2,0,0,0,0,0.5119453924914675
2020-03-12,64,0,2,26,22,2,3,0,0,0,0,0.08532423208191127
2020-03-13,45,0,4,30,34,0,2,0,0,0,0,0.42662116040955633
2020-03-14,31,0,5,28,42,0,0,0,0,0,0,1.9197952218430034
2020-03-15,33,0,10,27,23,0,0,0,0,0,0,1.151877133105802
2020-03-16,78,0,14,49,35,0,3,0,0,0,0,0.0
2020-03-17,38,0,14,26,17,0,2,2,0,0,0,1.7918088737201365
2020-03-18,34,0,17,30,12,0,0,0,0,0,0,0.5972696245733788
2020-03-19,34,11,23,31,11,0,0,0,0,0,0,0.5546075085324232
2020-03-20,34,25,24,25,12,0,0,0,0,0,0,0.5119453924914675
2020-03-21,41,39,29,21,9,0,0,3,0,0,0,3.114334470989761
2020-03-22,31,30,22,15,10,0,0,0,0,0,0,2.901023890784983
2020-03-23,28,27,25,14,11,3,0,0,0,0,0,3.3276450511945392
2020-03-24,28,20,20,9,10,0,0,0,0,0,0,3.71160409556314
2020-03-25,29,19,20,11,11,0,0,0,0,0,0,3.4129692832764507
2020-03-26,33,21,21,11,10,0,0,0,0,0,0,2.773037542662116
2020-03-27,25,18,17,8,8,3,0,0,0,0,0,4.138225255972697
2020-03-28,19,15,12,9,7,0,0,0,0,0,0,10.964163822525597
2020-03-29,16,16,15,8,7,3,0,0,2,2,2,13.523890784982935
2020-03-30,16,13,23,10,8,0,0,0,0,0,0,5.247440273037543
2020-03-31,18,10,25,8,7,0,0,0,0,0,0,21.757679180887372
2020-04-01,19,11,18,11,5,0,0,0,0,0,0,9.172354948805461
2020-04-02,13,9,16,7,5,2,0,0,0,0,0,12.969283276450511
2020-04-03,15,5,15,6,5,0,0,0,0,0,0,15.52901023890785
2020-04-04,18,7,11,4,6,0,0,0,0,0,0,3.02901023890785
2020-04-05,17,8,13,5,7,0,0,0,0,0,0,5.8447098976109215
2020-04-06,22,9,14,8,9,0,0,0,0,0,0,16.12627986348123
2020-04-07,16,7,8,9,6,0,0,0,0,0,0,4.052901023890785
2020-04-08,11,7,8,5,5,3,0,0,0,0,0,4.223549488054608
2020-04-09,8,5,7,4,4,3,0,0,0,0,0,8.10580204778157
2020-04-10,8,3,5,4,3,0,0,0,0,0,0,4.522184300341297
2020-04-11,8,6,6,2,2,0,0,0,0,0,0,8.959044368600683
2020-04-12,6,7,6,0,0,0,0,0,0,0,0,8.916382252559726
2020-04-13,11,9,5,4,3,0,0,0,0,0,0,10.580204778156997
2020-04-14,13,8,7,5,5,0,0,0,0,0,0,11.433447098976108
2020-04-15,12,9,5,4,4,0,0,0,0,0,0,9.044368600682594
2020-04-16,13,10,7,3,6,0,0,0,0,0,0,7.465870307167235
2020-04-17,11,10,7,4,2,0,0,0,0,0,0,8.575085324232083
2020-04-18,13,7,6,8,5,2,0,0,0,0,0,8.319112627986348
2020-04-19,13,8,5,7,3,0,0,0,0,0,0,6.825938566552901
2020-04-20,13,12,7,7,5,0,0,0,0,0,0,8.10580204778157
2020-04-21,14,10,5,7,4,0,0,0,0,0,0,5.460750853242321
2020-04-22,15,12,6,7,3,0,0,0,2,0,2,4.180887372013652
2020-04-23,18,7,6,10,5,3,0,0,0,0,0,11.092150170648464
