date,time pandemic,essay pandemic,pandemic essay,quarantine meaning,effect pandemic,home quarantine,quarantine pass,manila quarantine,quarantine tagalog,quarantine status,bureau quarantine,quarantine certificate,new_cases
2020-07-23,14,0,0,13,0,16,0,17,11,18,22,0,20.129642606867556
2020-07-24,15,0,0,0,14,14,0,11,0,0,16,0,18.675543097407147
2020-07-25,16,0,0,0,0,13,11,23,12,0,16,0,17.69446391030133
2020-07-26,0,0,0,0,0,0,0,19,0,0,14,15,18.7281009110021
2020-07-27,0,0,0,0,0,11,12,17,0,0,14,16,12.123335669236159
2020-07-28,22,0,0,0,0,17,0,19,0,11,11,21,11.807988787666433
2020-07-29,14,0,0,0,0,16,11,29,0,0,10,12,15.224246671338472
2020-07-30,0,0,0,16,0,15,0,35,0,41,15,0,50.21023125437982
2020-07-31,19,0,0,24,0,12,20,74,14,86,0,0,50.82340574632095
2020-08-01,12,0,0,0,13,14,13,20,0,20,0,12,66.04765241765942
2020-08-02,16,0,0,85,0,0,35,67,36,57,12,12,67.44919411352488
2020-08-03,0,0,0,57,0,15,74,54,27,40,20,15,37.771548703573934
2020-08-04,21,0,0,28,0,14,64,17,11,16,16,11,83.98738612473721
2020-08-05,14,0,0,15,0,12,51,0,0,10,11,0,41.92361597757533
2020-08-06,15,0,0,15,0,0,40,19,0,0,14,0,43.07988787666433
2020-08-07,16,12,12,16,0,14,39,0,14,0,16,0,40.1541695865452
2020-08-08,0,0,0,13,0,0,41,0,11,0,0,0,54.257182901191314
2020-08-09,11,0,0,16,0,0,24,0,0,0,0,0,35.10861948142957
2020-08-10,15,0,0,0,0,0,23,0,0,0,13,0,100.0
2020-08-11,22,0,0,11,0,10,21,0,0,0,15,0,32.9187105816398
2020-08-12,12,0,0,0,0,17,20,12,11,0,11,0,55.34337771548704
2020-08-13,16,15,15,11,0,15,0,14,0,0,0,0,50.54309740714786
2020-08-14,13,0,0,0,0,12,23,12,0,0,0,0,86.86054660126139
2020-08-15,13,0,0,23,0,15,32,21,0,19,0,0,54.9229152067274
2020-08-16,21,0,0,12,0,13,17,23,11,27,0,0,40.04905395935529
2020-08-17,15,0,0,34,0,16,20,75,14,78,15,0,38.71758934828311
2020-08-18,20,12,12,31,0,15,22,27,9,32,9,0,65.01401541695866
2020-08-19,22,14,14,0,0,14,32,22,0,10,10,0,60.0385423966363
2020-08-20,22,0,0,16,0,14,38,17,0,0,17,0,55.466012613875264
2020-08-21,19,0,0,0,0,12,48,11,0,0,0,0,63.314646110721796
2020-08-22,15,11,11,0,0,0,29,16,11,0,0,0,65.80238262088297
2020-08-23,16,17,17,12,0,11,29,0,11,0,0,0,23.353188507358094
2020-08-24,24,16,16,12,0,11,17,11,0,0,15,0,61.7729502452698
2020-08-25,29,24,24,0,13,11,14,0,0,0,11,0,33.67203924316748
2020-08-26,32,28,28,11,0,0,23,11,0,0,9,0,72.12683952347582
2020-08-27,32,26,26,18,0,0,14,14,10,0,0,9,38.12193412754029
2020-08-28,26,32,32,0,13,10,13,0,0,0,16,0,50.75332866152768
2020-08-29,20,14,14,0,0,12,26,0,0,0,0,0,44.67414155571128
2020-08-30,22,14,14,0,0,0,21,13,0,0,11,0,55.6937631394534
2020-08-31,21,14,14,34,0,0,22,29,14,60,13,0,41.783461807988786
2020-09-01,21,24,24,19,10,10,20,20,10,55,9,0,42.34407848633497
2020-09-02,23,29,29,19,0,10,20,16,0,14,0,0,21.373510861948144
2020-09-03,38,26,26,10,10,14,16,20,0,0,0,11,16.57323055360897
2020-09-04,34,29,29,10,12,8,20,12,0,0,0,0,46.075683251576734
2020-09-05,20,14,14,11,15,12,17,11,0,0,0,0,26.191310441485633
2020-09-06,26,25,25,13,0,0,16,11,0,0,0,0,31.464611072179398
2020-09-07,31,26,26,17,12,0,9,11,0,9,12,0,7.358093903293623
2020-09-08,27,30,30,12,12,14,11,15,9,0,0,0,38.96285914505957
2020-09-09,30,40,40,12,12,18,11,0,12,0,0,0,37.281009110021024
2020-09-10,36,32,32,13,14,13,0,0,9,0,0,0,48.72109320252277
2020-09-11,39,25,25,10,13,11,9,9,0,0,0,0,52.68044849334267
2020-09-12,27,16,16,15,10,0,14,0,0,11,0,0,67.1864050455501
2020-09-13,26,22,22,0,14,0,23,0,0,0,0,0,40.94253679046952
2020-09-14,47,31,31,0,8,12,9,9,0,0,9,0,63.62999299229152
2020-09-15,31,28,28,15,12,15,15,14,0,9,10,0,43.90329362298528
2020-09-16,42,24,24,13,13,11,12,8,10,0,9,0,43.377715487035736
2020-09-17,32,39,39,8,14,14,11,9,9,9,0,0,40.88997897687456
2020-09-18,45,32,32,10,15,0,13,12,15,25,0,0,38.52487736510161
2020-09-19,29,27,27,13,16,20,20,0,0,0,0,0,47.985283812193416
2020-09-20,34,17,17,0,13,13,14,12,0,0,0,0,36.843027330063066
2020-09-21,31,23,23,11,17,14,0,14,0,0,0,0,33.00630693763139
2020-09-22,36,27,27,22,15,0,10,14,12,0,0,0,11.562718990889978
2020-09-23,43,33,33,10,14,0,9,9,11,0,0,0,31.359495444989488
2020-09-24,45,38,38,0,11,0,12,11,11,8,9,0,20.515066573230552
2020-09-25,29,25,25,0,15,17,18,14,0,0,0,0,27.890679747722494
2020-09-26,34,28,28,0,11,14,15,11,0,0,0,0,29.414856341976172
2020-09-27,26,22,22,17,17,11,0,16,0,15,0,0,33.74211632796076
2020-09-28,34,26,26,27,16,18,11,17,14,17,0,0,35.82690960056062
2020-09-29,41,34,34,28,22,11,11,13,22,19,0,0,17.396636299929924
2020-09-30,43,37,37,20,13,12,0,13,20,14,11,0,24.45690259285214
2020-10-01,43,30,30,28,23,20,11,17,17,9,0,0,24.299229152067273
2020-10-02,59,29,29,21,18,14,0,18,17,15,0,0,27.312543798177995
2020-10-03,45,38,38,14,15,17,0,0,17,11,0,0,28.48633496846531
2020-10-04,55,32,32,18,16,0,15,14,17,15,0,0,37.561317449194114
2020-10-05,68,56,56,34,22,22,0,7,29,12,9,0,21.95164681149264
2020-10-06,77,62,62,24,28,26,15,0,36,0,0,0,19.096005606166784
2020-10-07,74,68,68,33,18,15,0,9,33,0,0,0,31.06166783461808
2020-10-08,97,73,73,29,21,25,11,11,29,0,0,0,23.56341976173791
2020-10-09,72,58,58,22,19,21,8,17,20,0,9,0,34.49544498948844
2020-10-10,54,44,44,22,18,11,11,11,14,0,0,0,22.24947442186405
2020-10-11,56,41,41,14,22,15,10,15,21,0,0,15,26.296426068675544
2020-10-12,69,53,53,23,18,20,8,0,22,8,0,0,44.533987386124736
2020-10-13,78,47,47,27,19,17,0,12,18,0,8,0,17.957252978276102
2020-10-14,100,50,50,25,28,11,0,0,16,8,0,0,16.310441485634197
2020-10-15,85,53,53,28,28,18,0,0,21,0,0,0,22.669936930623685
2020-10-16,69,49,49,16,20,12,8,13,17,9,0,0,37.42116327960757
2020-10-17,63,36,36,18,13,16,11,14,11,0,0,0,29.046951646811493
2020-10-18,79,50,50,20,24,19,11,11,0,0,0,0,24.281709880868956
2020-10-19,63,32,32,17,24,11,11,11,9,0,21,15,28.819201121233355
2020-10-20,70,48,48,21,11,17,9,14,12,0,17,30,11.948142957252978
2020-10-21,66,50,50,14,27,16,11,10,21,0,18,22,9.67063770147162
2020-10-22,77,58,58,16,35,16,0,0,20,0,16,26,12.105816398037842
2020-10-23,54,31,31,14,24,17,0,13,11,0,16,22,16.625788367203924
2020-10-24,62,39,39,13,21,14,14,0,0,0,23,46,19.32375613174492
2020-10-25,61,36,36,0,17,20,11,0,11,0,28,36,21.98668535388928
2020-10-26,61,28,28,12,18,18,0,12,12,13,0,27,11.317449194113525
2020-10-27,70,33,33,20,19,16,0,16,12,20,10,12,9.968465311843028
2020-10-28,46,34,34,18,20,11,0,11,12,0,0,22,19.271198318149963
2020-10-29,81,48,48,20,25,21,11,0,15,11,9,15,14.01541695865452
2020-10-30,62,34,34,11,28,15,0,13,14,0,15,16,17.747021723896285
2020-10-31,49,14,14,0,17,16,11,0,0,0,0,0,14.698668535388927
2020-11-01,36,31,31,13,22,12,0,14,14,0,0,15,24.71969166082691
2020-11-02,56,27,27,14,19,10,0,0,18,0,0,11,23.00280308339173
2020-11-03,64,29,29,9,17,20,0,0,13,0,14,16,14.260686755430974
2020-11-04,67,30,30,14,25,17,0,0,15,0,9,14,0.8409250175192712
2020-11-05,78,41,41,15,14,17,0,0,17,0,9,0,11.212333566923617
2020-11-06,53,33,33,9,10,17,0,0,10,0,0,0,19.569025928521373
2020-11-07,47,39,39,18,13,13,0,12,11,0,0,0,20.865451997196917
2020-11-08,62,34,34,11,19,17,0,0,11,0,0,0,25.66573230553609
2020-11-09,61,44,44,13,19,14,0,0,18,0,10,0,19.14856341976174
