date,manila quarantine,quarantine meaning,home quarantine,general quarantine,new_cases
2021-04-19,0,0,14,0,33.063039497776614
2021-04-20,16,18,22,0,21.752550353125816
2021-04-21,20,22,0,0,30.89720115092859
2021-04-22,22,16,0,0,28.65289040020926
2021-04-23,0,15,16,0,28.391315720638243
2021-04-24,0,19,25,0,33.31938268375621
2021-04-25,0,21,0,0,25.456447815851426
2021-04-26,20,25,20,0,29.437614438922314
2021-04-27,16,17,16,23,20.967826314412765
2021-04-28,27,27,17,14,19.39837823698666
2021-04-29,17,20,14,16,26.052838085273347
2021-04-30,30,26,0,25,28.80460371436045
2021-05-01,19,0,0,0,31.18493329845671
2021-05-02,0,0,0,0,26.905571540674863
2021-05-03,19,0,0,14,21.19278053884384
2021-05-04,20,19,0,0,13.246141773476328
2021-05-05,0,0,0,15,13.068270991368035
2021-05-06,16,24,16,15,18.012032435260267
2021-05-07,15,16,0,0,23.714360449908447
2021-05-08,0,0,17,0,19.822129217891707
2021-05-09,29,0,16,0,20.74810358357311
2021-05-10,0,17,15,0,19.168192518964165
2021-05-11,20,20,0,0,8.469788124509547
2021-05-12,25,0,0,0,9.08710436829715
2021-05-13,46,39,20,42,16.609992152759613
2021-05-14,36,20,0,33,18.81245095474758
2021-05-15,16,0,0,0,18.713052576510595
2021-05-16,0,21,0,18,13.800680094166884
2021-05-17,21,14,0,0,14.799895370128171
2021-05-18,14,0,17,16,7.256081611300027
2021-05-19,15,19,0,0,8.234370912895631
2021-05-20,16,14,18,0,15.307350248495945
2021-05-21,0,16,0,14,16.207167146220247
2021-05-22,20,0,0,0,19.24666492283547
2021-05-23,0,0,0,17,0.0
2021-05-24,0,26,0,16,9.667800156944807
2021-05-25,17,15,15,17,4.755427674601099
2021-05-26,0,0,0,0,11.48835992675909
2021-05-27,19,22,0,0,17.46795710175255
2021-05-28,21,21,0,24,28.883076118231756
2021-05-29,27,0,0,0,22.24431075071933
2021-05-30,0,17,0,0,20.355741564216583
2021-05-31,37,25,0,23,18.540413287993722
2021-06-01,39,19,0,25,10.829191734240126
2021-06-02,19,27,15,0,11.095997907402564
2021-06-03,21,0,20,0,21.23986398116662
2021-06-04,19,23,24,0,22.443107507193304
2021-06-05,16,0,0,0,19.832592205074548
2021-06-06,0,19,0,0,21.124771122155376
2021-06-07,0,15,0,0,17.839393146743394
2021-06-08,17,13,0,0,8.80460371436045
2021-06-09,0,0,0,0,12.299241433429245
2021-06-10,17,19,16,0,22.610515302118756
2021-06-11,15,15,0,0,18.35207951870259
2021-06-12,0,19,22,0,25.435521841485745
2021-06-13,16,20,0,0,21.569448077426106
2021-06-14,16,18,19,21,17.180224954224432
2021-06-15,30,23,22,15,11.980120324352603
2021-06-16,19,23,14,0,12.016740779492546
2021-06-17,21,32,22,0,18.294533089196964
2021-06-18,0,15,0,0,19.335600313889614
2021-06-19,0,0,16,0,19.900601621763013
2021-06-20,27,17,0,0,14.04656029296364
2021-06-21,23,18,20,0,10.918127125294271
2021-06-22,25,20,17,0,3.3376929113261835
2021-06-23,0,0,0,0,6.649228354695265
2021-06-24,0,0,18,0,15.045775568924928
2021-06-25,15,0,0,0,19.068794140727178
2021-06-26,0,0,0,0,19.644258435783417
2021-06-27,23,0,18,0,15.479989537012818
2021-06-28,17,31,24,22,12.995030081088151
2021-06-29,18,30,0,56,7.2142296625686635
2021-06-30,21,28,17,17,7.402563431859796
2021-07-01,19,0,16,0,14.104106722469265
2021-07-02,18,0,0,0,16.060685325660476
2021-07-03,19,0,0,0,14.491237248234372
2021-07-04,0,18,0,0,14.904525241956579
2021-07-05,21,0,0,0,11.974888830761182
2021-07-06,15,17,18,0,5.440753335077164
2021-07-07,0,16,0,0,6.371959194349987
2021-07-08,22,0,0,0,12.38817682448339
2021-07-09,16,18,0,0,14.491237248234372
2021-07-10,0,0,0,0,13.319382683756212
2021-07-11,0,17,0,0,14.742348940622549
2021-07-12,22,0,0,0,10.918127125294271
2021-07-13,0,0,0,0,2.7988490714098875
2021-07-14,16,0,0,0,3.834684802511117
2021-07-15,25,31,0,36,11.122155375359664
2021-07-16,0,23,0,19,13.356003138896154
2021-07-17,31,0,0,0,15.08762751765629
2021-07-18,18,0,0,0,11.94873136280408
2021-07-19,16,0,0,0,13.120585927282239
2021-07-20,0,0,0,0,7.339785508762752
2021-07-21,0,0,0,0,14.125032696834946
2021-07-22,26,0,0,0,11.6453047345017
2021-07-23,48,24,0,23,16.766936960502225
