date,time pandemic,bakuna,pandemic essay,bureau quarantine,home quarantine,quarantine status,quarantine hotel,quarantine meaning,ofw quarantine,quarantine tagalog,quarantine certificate,new_cases
2021-09-01,30,50,18,46,14,27,0,9,9,0,9,42.824109757977496
2021-09-02,26,51,14,33,0,33,13,8,11,0,0,50.041621704948355
2021-09-03,25,44,18,44,10,29,0,0,0,0,11,61.3349776476029
2021-09-04,26,34,19,37,0,29,16,0,0,0,12,39.041159241560045
2021-09-04,26,34,19,37,0,29,16,0,0,0,12,23.187914290118698
2021-09-05,33,34,0,33,0,49,13,0,0,0,0,60.4994604593803
2021-09-06,27,45,18,39,9,84,16,22,0,0,0,67.90504085093264
2021-09-07,29,38,23,36,13,79,13,12,0,0,0,54.330198859256974
2021-09-08,33,40,24,40,0,41,11,0,0,0,0,54.04347155850162
2021-09-09,41,47,31,28,13,17,14,0,0,0,13,68.93479266224757
2021-09-10,33,39,23,44,10,17,17,0,12,0,0,54.15137968244181
2021-09-11,32,24,16,23,0,15,11,0,0,0,0,79.26622475720671
2021-09-12,37,28,28,26,12,24,11,0,0,0,0,64.60613534761832
2021-09-13,63,34,25,33,15,25,10,18,0,13,9,62.629875134885154
2021-09-14,71,40,31,29,15,35,10,13,0,16,9,54.41344226915369
2021-09-15,77,45,48,28,16,27,10,17,0,15,0,51.13611839062741
2021-09-16,69,42,49,27,14,32,12,18,0,12,9,64.11284106674889
2021-09-17,79,50,47,36,14,30,8,18,0,12,11,61.35655927239094
2021-09-18,64,38,40,27,15,25,0,20,0,15,0,69.74256204717126
2021-09-19,87,26,44,19,12,15,0,0,0,12,0,58.08231848312008
2021-09-20,85,38,47,26,21,16,0,8,8,12,8,57.12347772468013
2021-09-21,87,44,46,27,20,15,11,16,0,15,0,49.267766301834435
2021-09-22,96,51,48,36,14,10,0,14,0,17,9,46.80129489748728
2021-09-23,100,44,55,29,20,11,8,19,0,0,8,52.477262216741174
2021-09-24,94,71,51,32,13,8,12,20,0,12,11,56.019731771234774
2021-09-25,84,52,45,19,0,9,13,9,0,0,0,31.139201479882843
2021-09-26,99,46,58,16,15,18,0,0,0,0,0,62.45722213658085
2021-09-27,69,41,44,31,19,12,9,9,0,10,0,55.813164791120705
2021-09-28,85,46,48,29,14,20,11,9,0,10,9,41.560043163249574
2021-09-29,89,46,42,34,14,26,8,15,0,10,0,38.36904578387544
2021-09-30,92,47,59,36,20,79,10,0,8,0,0,42.83952520425466
2021-10-01,87,42,48,22,0,45,10,10,0,0,8,46.76121473716664
2021-10-02,70,36,43,21,0,16,10,11,10,0,0,44.38106983197164
2021-10-03,76,31,45,14,15,18,14,14,0,0,0,39.77185139509789
2021-10-04,78,34,44,33,18,14,11,0,0,0,0,32.239864344072764
2021-10-05,87,50,49,37,15,12,12,12,8,9,7,27.054108216432866
2021-10-06,95,48,55,24,17,13,12,11,0,9,0,29.53599506705719
2021-10-07,100,46,53,27,19,14,8,8,0,8,0,29.905965777709266
2021-10-08,84,44,55,38,15,18,0,13,13,9,9,31.820564205333746
2021-10-09,81,33,52,31,13,13,18,0,9,9,9,32.91506089101279
2021-10-10,91,35,50,17,14,13,12,0,10,0,0,36.346539232310775
2021-10-11,84,30,46,50,14,14,13,13,0,7,11,24.661630954216125
2021-10-12,96,54,46,31,21,8,8,0,0,10,0,25.44781871435178
2021-10-13,85,72,41,41,17,18,0,11,14,0,10,21.239401880684447
2021-10-14,90,67,59,52,16,24,8,13,12,10,0,23.234160628950207
2021-10-15,85,39,44,36,16,15,11,11,0,11,8,22.56513026052104
2021-10-16,75,31,43,26,13,18,0,0,0,0,0,23.09542161245568
2021-10-17,85,39,49,21,18,21,0,12,13,0,0,20.50254354863573
2021-10-18,85,43,54,36,12,10,8,0,0,0,10,20.496377370124865
2021-10-19,83,43,48,38,19,19,12,9,0,7,8,13.127794049637737
2021-10-20,90,44,53,28,22,15,10,12,0,0,0,10.510251271774317
2021-10-21,91,43,52,43,15,12,10,8,8,0,0,14.08355171882226
2021-10-22,83,44,41,38,12,0,8,8,12,0,0,17.18822259904424
2021-10-23,76,38,44,25,11,12,0,0,0,9,0,17.16355788500077
2021-10-24,91,29,35,26,14,0,9,0,0,0,0,15.520271311854478
2021-10-25,95,48,58,40,8,13,13,0,0,0,0,12.893479266224757
2021-10-26,87,45,47,43,16,8,8,0,0,0,8,12.859565284414984
2021-10-27,87,45,44,32,15,9,8,8,8,0,0,9.22151996300293
2021-10-28,93,53,49,33,18,0,13,13,0,10,0,21.16540773855403
2021-10-29,88,57,35,39,12,12,9,8,10,0,0,11.765068598735933
2021-10-30,72,33,34,16,10,0,0,0,10,16,0,11.64482811777401
2021-10-31,69,28,38,19,0,0,0,0,0,0,0,9.875134885154925
2021-11-01,60,33,28,20,11,17,12,0,0,0,0,8.953291197780176
2021-11-02,85,60,41,34,15,9,13,11,9,0,0,6.4960690611993215
2021-11-03,87,61,38,43,15,11,8,12,13,0,9,4.316324957607523
2021-11-04,79,52,43,40,18,8,8,11,13,0,7,4.82195159549869
2021-11-05,74,56,32,46,13,16,8,8,0,0,11,6.708802219824264
2021-11-06,65,45,35,32,15,0,17,10,0,0,0,7.528903961769693
2021-11-07,87,39,47,31,16,0,13,0,0,0,11,7.3932480345305995
2021-11-08,62,50,44,43,16,0,0,13,0,9,0,5.817789425003854
2021-11-09,70,55,39,41,11,8,13,12,10,12,0,3.8261137659935254
2021-11-10,72,59,46,36,10,0,9,10,10,0,0,7.522737783258825
2021-11-11,77,49,49,36,10,0,8,12,0,0,9,5.469400339139818
2021-11-12,55,51,42,39,8,9,8,8,8,0,0,5.241251734237706
2021-11-13,56,37,41,20,9,0,0,0,13,0,0,5.555726838291968
2021-11-14,66,77,35,22,14,0,0,9,0,0,0,5.352242947433329
2021-11-15,57,50,36,46,10,0,10,11,11,0,0,4.1960844766455985
2021-11-16,55,53,34,35,0,0,7,12,0,0,0,2.0533374441190073
2021-11-17,70,55,49,56,9,0,8,9,15,0,11,3.0892554339448126
2021-11-18,73,50,40,46,0,8,8,8,11,0,0,3.4376445198088486
2021-11-19,65,55,43,46,9,0,11,10,13,0,9,3.961769693232619
2021-11-20,50,42,23,21,0,0,0,0,16,0,0,3.971018960998921
2021-11-21,62,33,36,27,16,0,13,0,10,0,0,6.264837367041776
2021-11-22,60,46,41,35,12,0,13,8,0,0,0,2.4911361183906275
2021-11-23,64,45,43,38,8,0,15,0,0,0,8,2.962848774472021
2021-11-24,80,50,41,38,0,0,8,0,0,0,0,2.167411746570063
2021-11-25,69,53,45,34,0,0,9,9,8,0,0,2.451055958069986
2021-11-26,57,46,31,27,0,0,0,8,9,0,0,2.11808231848312
2021-11-27,44,44,35,18,0,0,0,0,0,0,0,2.225990442423308
2021-11-28,60,61,39,27,12,0,0,0,12,0,0,2.0502543548635734
2021-11-29,68,72,34,41,11,8,0,8,13,12,0,1.507630645907199
2021-11-30,63,77,39,26,0,0,18,0,0,0,10,0.783104670880222
2021-12-01,72,47,41,42,9,0,0,9,0,0,0,0.9989209187605981
2021-12-02,81,62,48,31,11,8,8,0,10,8,0,1.1962386311083706
2021-12-03,59,47,42,35,11,0,10,0,13,9,0,1.1438261137659935
2021-12-04,62,29,34,27,11,0,0,0,10,0,0,1.0513334361029751
2021-12-05,74,30,36,20,16,0,13,0,15,0,0,1.3318945583474642
2021-12-06,78,38,35,32,11,0,8,8,0,0,0,1.1469092030214274
2021-12-07,61,31,43,34,0,0,13,0,9,0,0,0.5457067982118082
2021-12-08,82,30,53,25,0,0,0,0,0,0,0,0.6042854940650532
2021-12-09,87,40,50,30,8,0,13,8,10,0,0,1.1993217203638045
2021-12-10,65,44,44,28,0,0,12,0,0,0,0,0.6289502081085248
2021-12-11,59,41,35,16,0,0,13,0,11,0,0,0.5765376907661477
2021-12-12,72,30,48,17,0,0,9,0,0,10,0,0.7214428857715431
2021-12-13,61,47,39,26,9,0,13,9,11,0,0,0.5827038692770156
2021-12-14,58,32,44,26,11,0,0,0,12,0,0,0.2065669801140743
2021-12-15,56,42,43,28,0,0,12,0,13,0,0,0.19115153383690459
2021-12-16,44,35,27,37,0,0,15,0,0,0,0,0.3576383536303376
2021-12-17,41,23,30,30,0,0,13,0,0,0,11,1.2455680591953138
2021-12-18,29,22,17,21,0,0,13,0,0,0,0,0.36688762139663944
2021-12-19,35,26,16,17,0,0,0,0,15,0,0,0.10482503468475413
2021-12-20,23,31,19,33,0,0,0,0,0,0,0,0.2898103900107908
2021-12-21,24,34,20,38,0,0,19,0,0,0,0,0.0
2021-12-22,19,37,0,25,0,0,0,0,0,0,0,0.2713118544781871
2021-12-23,12,25,12,22,0,0,11,0,13,0,0,0.3576383536303376
2021-12-24,0,17,0,13,0,0,0,0,0,0,0,0.41005087097271464
2021-12-25,0,0,0,0,0,0,0,16,0,0,0,0.7954370279019578
2021-12-26,13,23,0,13,0,0,0,0,0,0,0,0.8077693849236935
2021-12-27,0,28,12,30,0,0,0,0,0,0,0,0.45938029905965777
2021-12-28,15,31,11,33,0,0,0,0,0,0,0,0.727609064282411
2021-12-29,20,30,11,34,0,0,12,0,0,0,0,2.1735779250809313
2021-12-30,0,21,0,17,0,0,36,0,0,0,0,4.393402188993371
2021-12-31,13,0,0,0,13,13,23,0,0,0,0,8.453830738399876
2022-01-01,17,12,15,19,0,0,12,0,0,0,0,10.467088022198242
2022-01-02,40,25,21,18,0,11,13,0,11,0,0,13.460767689224603
2022-01-03,45,45,30,42,13,0,18,14,12,0,0,11.826730383844613
2022-01-04,35,53,26,22,18,14,27,0,0,0,0,15.921072915060892
2022-01-05,42,60,29,36,12,0,23,17,20,8,8,32.02713118544782
2022-01-06,49,71,30,27,15,0,19,24,0,14,9,51.54000308308925
2022-01-07,39,60,28,34,19,0,21,18,8,10,0,65.2227531987051
2022-01-08,35,50,31,21,19,0,13,13,8,0,0,79.49745645136427
