date,time pandemic,pandemic essay,bakuna,bureau quarantine,home quarantine,quarantine meaning,quarantine hotel,quarantine certificate,ofw quarantine,quarantine tagalog,new_cases
2022-01-13,54,38,63,33,17,10,16,0,0,0,75.42594334692171
2022-01-14,42,31,63,25,11,10,18,0,0,0,95.30417058639071
2022-01-15,44,37,40,25,12,0,16,0,10,0,100.0
2022-01-16,45,31,48,17,14,13,14,0,0,0,95.27019964461168
2022-01-17,44,28,63,25,11,9,11,0,8,0,95.12647642939271
2022-01-18,38,31,47,35,18,8,14,0,0,0,72.93038570084666
2022-01-19,36,24,42,27,12,9,14,0,0,0,58.696561095432216
2022-01-20,45,28,49,31,16,0,12,7,7,0,79.81342113515208
2022-01-21,41,28,43,31,14,9,9,0,0,0,83.81415281697502
2022-01-22,37,25,32,12,14,0,11,0,0,8,78.16713703355283
2022-01-23,53,38,29,21,9,9,11,0,0,0,76.51562663321836
2022-01-24,63,35,36,35,9,9,9,11,8,7,64.19985366363541
2022-01-25,55,40,37,33,0,0,9,7,6,0,45.02717675342323
2022-01-26,56,29,33,31,7,6,11,0,0,6,40.29737639803491
2022-01-27,45,35,34,30,8,8,8,12,7,7,45.54196717884394
2022-01-28,42,30,41,26,8,0,8,7,13,0,47.73439949827532
2022-01-29,28,18,26,21,11,0,10,0,11,0,44.43660499634159
2022-01-30,35,22,29,18,9,0,0,0,0,0,43.32079021636877
2022-01-31,38,27,27,24,7,8,0,0,0,0,36.65203303020801
2022-02-01,39,26,28,26,0,8,8,0,10,0,23.999163792202364
2022-02-02,38,23,29,34,8,0,6,7,0,0,19.305947527960697
2022-02-03,45,30,36,24,8,0,0,0,0,9,22.169959234869864
2022-02-04,35,22,27,26,0,0,0,0,0,0,21.59245322462632
2022-02-05,30,28,36,17,0,0,0,0,0,0,19.517612626737744
2022-02-06,49,25,31,15,0,8,0,0,0,0,20.03240305215846
2022-02-07,54,30,32,25,0,7,0,0,0,0,17.0377338768684
2022-02-08,59,36,36,27,5,0,6,0,0,0,7.797637712971674
2022-02-09,76,47,35,34,8,7,0,0,0,0,8.832444862548343
2022-02-10,50,33,33,28,0,0,0,0,0,0,11.218250235183444
2022-02-11,50,34,39,28,0,0,0,0,0,0,9.477892756349952
2022-02-12,57,37,25,20,0,0,0,0,0,0,9.255775060102435
2022-02-13,67,42,29,16,10,8,0,0,0,0,7.617330406606041
2022-02-14,60,36,26,40,6,0,5,0,0,5,6.7549911152921505
2022-02-15,81,54,43,28,7,6,4,0,0,0,4.818647433887321
2022-02-16,85,60,48,24,5,0,0,0,0,0,4.7899027908435245
2022-02-17,76,58,42,26,9,7,0,5,0,0,5.213232988397617
2022-02-18,83,58,48,30,9,6,0,0,5,7,5.351729904881363
2022-02-19,74,53,34,10,6,7,0,0,0,7,4.510295808508414
2022-02-20,93,59,38,13,12,7,0,0,0,0,4.019023727396258
2022-02-21,73,59,29,24,10,9,0,0,0,5,3.318699696874673
2022-02-22,78,49,39,30,11,6,4,0,0,5,2.2603742029894427
2022-02-23,82,60,31,28,8,0,0,0,0,6,3.606146127312637
2022-02-24,73,47,35,24,5,6,0,0,0,5,4.1653600919828575
2022-02-25,73,46,34,26,6,7,0,0,0,0,3.9563081425734294
2022-02-26,75,49,22,15,7,6,0,0,0,6,2.77516462841016
2022-02-27,100,60,33,17,12,6,0,0,0,7,2.3753527751646284
2022-02-28,77,51,31,30,5,0,0,5,0,0,2.1271035852409326
2022-03-01,87,50,37,27,0,8,0,0,0,7,2.469426152398871
2022-03-02,79,48,36,27,9,6,0,0,0,0,1.8971464408905614
2022-03-03,79,47,30,25,9,7,0,0,0,0,2.2081112156370857
2022-03-04,72,46,28,27,6,7,0,0,0,0,1.8553360510086756
2022-03-05,79,49,31,20,0,0,0,0,0,0,2.074840597888575
2022-03-06,80,51,33,19,5,0,7,0,0,0,1.9128253370962685
2022-03-07,76,55,32,25,5,0,0,4,5,5,1.5914079648792725
2022-03-08,81,53,40,17,5,0,0,0,0,0,0.8597261419462736
2022-03-09,84,55,36,23,7,5,0,0,0,8,1.191596111633741
