date,vaccine,pfizer,dos,moderna,people,side_effect,pfizer_moderna,sinovac,booster,first,one,long_term,two,child,dose,new_cases
2021-09-01,0,0,0,9,1,0,0,7,4,0,0,2,1,2,0,14056
2021-09-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16397
2021-09-03,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,20060
2021-09-04,0,0,0,3,0,0,1,2,1,0,0,0,0,0,0,12829
2021-09-05,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,7687
2021-09-06,0,0,0,4,0,0,1,0,0,0,1,0,7,0,0,19789
2021-09-07,0,0,0,4,0,0,0,4,2,0,0,0,0,0,0,22191
2021-09-08,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,17788
2021-09-09,0,0,0,1,0,0,3,2,3,0,2,1,5,0,2,17695
2021-09-10,0,0,0,7,0,0,0,6,6,0,0,0,0,0,0,22525
2021-09-11,0,0,0,2,0,0,0,2,1,0,0,0,2,0,1,17730
2021-09-12,0,0,0,3,0,0,0,4,9,0,0,0,0,0,0,25876
2021-09-13,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,21121
2021-09-14,1,0,0,0,0,1,3,0,0,0,0,0,0,0,2,20480
2021-09-15,2,0,0,4,4,1,0,12,2,0,3,26,4,2,5,17815
2021-09-16,1,0,0,1,0,0,0,1,0,0,0,6,0,0,1,16752
2021-09-17,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,20961
2021-09-18,0,0,0,1,0,0,0,3,2,0,0,0,5,0,0,20067
2021-09-19,0,0,0,0,0,0,0,3,0,0,2,0,7,0,0,22787
2021-09-20,0,0,0,0,0,0,0,0,4,0,0,3,0,0,1,19005
2021-09-21,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,18694
2021-09-22,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,16146
2021-09-23,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,15346
2021-09-24,0,0,0,6,1,0,4,4,8,0,4,4,2,2,1,17187
2021-09-25,0,0,0,1,0,1,0,2,3,0,0,1,0,0,1,18336
2021-09-26,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,10266
2021-09-27,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,20424
2021-09-28,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,18269
2021-09-29,2,0,0,1,3,17,1,17,9,0,7,16,1,2,14,13646
2021-09-30,0,0,0,0,4,1,0,1,1,0,2,0,2,0,3,12611
2021-10-01,0,0,0,2,2,0,0,1,5,0,0,0,1,0,0,14061
2021-10-02,0,0,0,1,0,0,1,1,1,0,0,0,2,0,2,15333
2021-10-03,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,14561
2021-10-04,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13066
2021-10-05,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,10623
2021-10-06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8941
2021-10-07,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9746
2021-10-08,0,0,0,1,0,0,3,1,2,0,2,0,2,1,2,9866
2021-10-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10487
2021-10-10,3,0,0,4,3,5,0,3,0,0,3,4,4,0,0,10842
2021-10-11,0,0,0,1,1,1,1,0,0,0,1,0,2,0,0,11955
2021-10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8165
2021-10-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8420
2021-10-14,0,0,0,3,0,1,0,4,7,0,2,1,6,0,1,7055
2021-10-15,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,7702
2021-10-16,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,7485
2021-10-17,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,7657
2021-10-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6816
2021-10-19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6814
2021-10-20,2,0,0,6,2,0,0,2,2,0,2,2,9,1,0,4424
