Category: All categories

Day,bakuna: (Philippines),bureau quarantine: (Philippines),effect pandemic: (Philippines),essay pandemic: (Philippines),home quarantine: (Philippines)
2020-03-10,0,0,0,0,10
2020-03-11,0,6,0,0,6
2020-03-12,0,8,0,0,8
2020-03-13,0,0,0,0,14
2020-03-14,0,7,0,0,23
2020-03-15,0,0,0,0,35
2020-03-16,0,13,0,0,52
2020-03-17,6,0,0,0,51
2020-03-18,0,0,0,0,58
2020-03-19,0,0,0,0,77
2020-03-20,0,0,0,0,83
2020-03-21,0,0,0,0,100
2020-03-22,0,0,0,0,75
2020-03-23,0,0,0,0,85
2020-03-24,0,0,0,0,71
2020-03-25,0,0,0,0,69
2020-03-26,0,0,0,0,80
2020-03-27,0,0,0,0,51
2020-03-28,0,0,0,0,44
2020-03-29,0,0,0,0,49
2020-03-30,0,0,0,0,75
2020-03-31,0,0,0,0,84
2020-04-01,0,0,0,0,63
2020-04-02,0,0,0,0,54
2020-04-03,0,0,0,0,52
2020-04-04,0,0,0,0,35
2020-04-05,0,0,0,0,47
2020-04-06,0,0,0,0,51
2020-04-07,8,0,0,0,29
2020-04-08,0,0,0,0,27
2020-04-09,0,0,0,0,23
2020-04-10,0,0,0,0,21
2020-04-11,0,0,0,0,23
2020-04-12,0,0,0,0,20
2020-04-13,0,0,0,0,19
2020-04-14,0,0,0,0,23
2020-04-15,0,0,0,0,23
2020-04-16,0,0,0,0,28
2020-04-17,0,0,0,0,23
2020-04-18,0,0,0,0,27
2020-04-19,0,0,7,0,19
2020-04-20,0,7,0,0,23
2020-04-21,0,0,8,0,19
2020-04-22,0,0,0,0,24
2020-04-23,0,0,0,0,17
2020-04-24,0,0,0,0,24
2020-04-25,0,0,0,0,17
2020-04-26,0,0,0,0,11
2020-04-27,0,0,0,0,14
2020-04-28,0,0,0,7,18
2020-04-29,0,0,0,6,15
2020-04-30,0,0,0,6,17
2020-05-01,0,0,8,0,13
2020-05-02,0,0,0,0,9
2020-05-03,0,0,0,0,13
2020-05-04,0,0,7,7,16
2020-05-05,0,0,0,9,15
2020-05-06,0,0,0,0,12
2020-05-07,0,0,0,0,16
2020-05-08,0,0,0,0,10
2020-05-09,0,0,0,0,7
2020-05-10,0,0,8,7,7
2020-05-11,0,0,7,7,13
2020-05-12,0,7,0,12,18
2020-05-13,0,0,9,10,12
2020-05-14,0,0,8,7,13
2020-05-15,0,0,0,0,12
2020-05-16,0,0,0,9,12
2020-05-17,0,0,0,0,8
2020-05-18,0,0,9,11,11
2020-05-19,0,0,8,11,8
2020-05-20,10,0,6,10,13
2020-05-21,0,0,6,9,10
2020-05-22,0,0,0,7,7
2020-05-23,0,0,0,0,10
2020-05-24,0,0,0,7,0
2020-05-25,7,0,6,8,10
2020-05-26,6,0,0,0,8
2020-05-27,0,0,0,8,10
2020-05-28,6,8,9,0,9
2020-05-29,0,9,7,11,14
2020-05-30,0,0,0,7,11
2020-05-31,0,0,0,0,7
2020-06-01,0,9,7,0,9
2020-06-02,0,14,0,7,7
2020-06-03,0,10,0,7,11
2020-06-04,0,9,0,6,0
2020-06-05,0,11,0,10,8
2020-06-06,0,7,0,8,11
2020-06-07,0,8,0,0,0
2020-06-08,0,8,0,9,0
2020-06-09,0,10,0,6,0
2020-06-10,0,11,0,0,7
2020-06-11,0,11,0,0,10
2020-06-12,0,7,0,0,0
2020-06-13,0,7,0,0,0
2020-06-14,0,0,6,10,0
2020-06-15,0,11,0,6,8
2020-06-16,0,10,0,0,8
2020-06-17,0,7,0,0,0
2020-06-18,0,14,0,0,0
2020-06-19,0,14,0,0,6
2020-06-20,0,0,0,0,8
2020-06-21,0,8,0,0,7
2020-06-22,0,7,0,0,9
2020-06-23,0,9,0,0,7
2020-06-24,0,7,0,0,0
2020-06-25,0,11,0,0,0
2020-06-26,0,7,0,0,0
2020-06-27,0,0,0,0,0
2020-06-28,0,0,0,0,0
2020-06-29,0,10,0,0,6
2020-06-30,0,10,0,0,0
2020-07-01,0,8,0,0,0
2020-07-02,0,6,0,0,0
2020-07-03,0,9,0,0,0
2020-07-04,0,0,0,0,7
2020-07-05,0,0,0,0,0
2020-07-06,0,16,0,0,8
2020-07-07,0,8,0,0,6
2020-07-08,0,0,0,0,0
2020-07-09,0,6,0,0,0
2020-07-10,0,10,0,0,0
2020-07-11,0,9,0,0,0
2020-07-12,0,0,0,0,8
2020-07-13,0,7,0,0,9
2020-07-14,0,9,0,0,10
2020-07-15,0,0,0,0,6
2020-07-16,0,6,0,0,7
2020-07-17,0,9,0,0,12
2020-07-18,0,7,0,0,0
2020-07-19,0,0,0,0,0
2020-07-20,0,9,0,0,8
2020-07-21,0,10,0,0,8
2020-07-22,0,11,6,0,0
2020-07-23,0,9,0,0,7
2020-07-24,0,7,13,0,0
2020-07-25,0,0,0,0,8
2020-07-26,0,9,0,0,10
2020-07-27,0,7,0,0,0
2020-07-28,0,12,0,0,11
2020-07-29,0,8,0,0,10
2020-07-30,6,0,0,0,0
2020-07-31,0,6,0,0,6
2020-08-01,0,0,0,0,9
2020-08-02,0,8,0,0,0
2020-08-03,0,11,0,0,8
2020-08-04,0,7,0,0,9
2020-08-05,0,6,0,0,7
2020-08-06,0,6,0,0,7
2020-08-07,0,0,0,0,8
2020-08-08,0,0,0,0,8
2020-08-09,0,0,7,0,6
2020-08-10,0,7,6,5,5
2020-08-11,0,7,0,7,7
2020-08-12,0,7,0,0,8
2020-08-13,0,0,0,8,8
2020-08-14,0,0,0,6,0
2020-08-15,0,0,0,0,12
2020-08-16,0,7,0,0,0
2020-08-17,0,7,0,0,9
2020-08-18,0,7,0,0,9
2020-08-19,0,6,0,5,9
2020-08-20,0,9,0,0,6
2020-08-21,0,0,0,0,0
2020-08-22,0,0,0,8,0
