Category: All categories

Day,home quarantine: (Philippines),manila quarantine: (Philippines),ofw quarantine: (Philippines),pandemic essay: (Philippines),quarantine certificate: (Philippines)
2020-03-10,0,0,0,0,0
2020-03-11,5,0,0,0,0
2020-03-12,6,54,0,0,0
2020-03-13,10,83,0,0,0
2020-03-14,13,100,0,0,0
2020-03-15,26,56,5,0,0
2020-03-16,38,86,0,0,0
2020-03-17,33,44,0,0,0
2020-03-18,42,29,0,0,0
2020-03-19,57,28,0,0,0
2020-03-20,59,28,0,0,0
2020-03-21,73,20,0,0,0
2020-03-22,55,27,0,0,0
2020-03-23,59,22,0,0,0
2020-03-24,49,23,0,0,0
2020-03-25,52,26,0,0,0
2020-03-26,56,24,0,0,0
2020-03-27,39,17,0,0,0
2020-03-28,32,18,0,0,0
2020-03-29,36,21,0,0,0
2020-03-30,55,20,0,0,0
2020-03-31,60,18,0,0,0
2020-04-01,43,11,0,0,0
2020-04-02,40,12,0,0,0
2020-04-03,39,16,0,0,0
2020-04-04,27,15,0,0,0
2020-04-05,31,15,0,0,0
2020-04-06,36,23,0,0,0
2020-04-07,22,16,0,0,0
2020-04-08,15,11,7,0,0
2020-04-09,16,9,0,0,0
2020-04-10,16,11,0,0,0
2020-04-11,16,7,0,0,0
2020-04-12,14,5,0,0,0
2020-04-13,11,8,0,0,0
2020-04-14,16,12,0,0,0
2020-04-15,12,10,0,0,0
2020-04-16,20,6,0,0,0
2020-04-17,18,7,0,0,0
2020-04-18,13,11,0,0,0
2020-04-19,13,8,0,0,0
2020-04-20,15,11,0,0,0
2020-04-21,14,13,0,0,0
2020-04-22,16,10,0,0,0
2020-04-23,14,12,0,0,0
2020-04-24,18,20,0,0,0
2020-04-25,13,7,0,0,0
2020-04-26,9,5,0,0,0
2020-04-27,12,8,0,0,0
2020-04-28,12,12,0,0,0
2020-04-29,11,8,0,0,0
2020-04-30,11,9,6,4,0
2020-05-01,8,7,5,0,0
2020-05-02,6,0,0,0,0
2020-05-03,9,6,0,0,0
2020-05-04,12,10,0,0,0
2020-05-05,10,7,0,5,0
2020-05-06,9,5,0,6,0
2020-05-07,12,9,0,0,0
2020-05-08,8,10,0,0,0
2020-05-09,7,14,0,7,0
2020-05-10,6,10,0,0,0
2020-05-11,8,14,0,7,0
2020-05-12,12,32,0,7,0
2020-05-13,11,15,0,5,0
2020-05-14,9,7,0,5,0
2020-05-15,6,10,0,5,0
2020-05-16,11,15,0,6,0
2020-05-17,5,10,5,7,0
2020-05-18,9,6,0,7,0
