Category: All categories

Day,quarantine status: (Philippines),quarantine tagalog: (Philippines),time pandemic: (Philippines)
2020-03-10,0,7,0
2020-03-11,0,10,0
2020-03-12,0,50,0
2020-03-13,0,58,0
2020-03-14,0,55,4
2020-03-15,0,54,0
2020-03-16,0,100,4
2020-03-17,4,53,4
2020-03-18,0,62,0
2020-03-19,0,61,0
2020-03-20,0,51,0
2020-03-21,0,41,0
2020-03-22,0,30,0
2020-03-23,0,28,0
2020-03-24,0,19,0
2020-03-25,0,25,0
2020-03-26,0,20,0
2020-03-27,0,15,0
2020-03-28,0,19,0
2020-03-29,0,17,4
2020-03-30,0,18,0
2020-03-31,0,16,0
2020-04-01,0,20,0
2020-04-02,0,15,4
2020-04-03,0,13,0
2020-04-04,0,9,5
2020-04-05,0,12,0
2020-04-06,0,17,0
2020-04-07,0,17,0
2020-04-08,0,12,4
2020-04-09,0,8,8
2020-04-10,0,8,0
2020-04-11,0,0,5
2020-04-12,0,0,0
2020-04-13,0,9,0
2020-04-14,0,9,0
2020-04-15,0,8,0
2020-04-16,0,7,0
2020-04-17,0,9,0
2020-04-18,0,13,7
2020-04-19,0,15,5
2020-04-20,0,13,4
2020-04-21,0,14,0
2020-04-22,0,19,0
2020-04-23,0,20,5
2020-04-24,0,21,0
2020-04-25,0,10,0
2020-04-26,0,6,4
2020-04-27,0,11,4
2020-04-28,0,20,6
2020-04-29,0,10,0
2020-04-30,0,11,0
2020-05-01,0,10,4
2020-05-02,0,5,5
2020-05-03,0,10,5
2020-05-04,0,8,6
2020-05-05,0,4,6
2020-05-06,0,6,4
2020-05-07,0,8,6
2020-05-08,0,6,5
2020-05-09,0,7,4
2020-05-10,0,0,0
2020-05-11,0,9,5
2020-05-12,4,83,5
2020-05-13,0,27,4
2020-05-14,6,11,6
2020-05-15,4,13,7
2020-05-16,0,12,4
2020-05-17,0,8,0
2020-05-18,0,6,5
2020-05-19,4,5,8
2020-05-20,0,6,6
2020-05-21,0,6,7
2020-05-22,0,0,8
2020-05-23,0,0,6
2020-05-24,0,0,6
2020-05-25,0,4,5
2020-05-26,5,0,4
2020-05-27,0,6,4
2020-05-28,7,20,5
2020-05-29,5,8,5
2020-05-30,0,5,5
2020-05-31,0,6,0
2020-06-01,0,0,5
2020-06-02,0,5,5
2020-06-03,4,5,4
2020-06-04,0,0,4
2020-06-05,0,0,3
2020-06-06,0,0,0
2020-06-07,0,0,6
2020-06-08,0,0,5
2020-06-09,0,0,7
2020-06-10,0,0,4
2020-06-11,0,0,0
2020-06-12,0,0,0
2020-06-13,0,0,5
2020-06-14,4,0,4
2020-06-15,16,5,7
2020-06-16,5,4,4
2020-06-17,4,0,4
2020-06-18,4,0,0
2020-06-19,0,4,5
2020-06-20,0,0,4
2020-06-21,0,0,0
2020-06-22,0,0,0
2020-06-23,0,0,0
2020-06-24,0,0,4
2020-06-25,0,0,0
2020-06-26,0,0,4
2020-06-27,0,0,0
2020-06-28,5,0,4
2020-06-29,6,0,5
2020-06-30,18,7,0
2020-07-01,12,5,6
2020-07-02,5,0,5
2020-07-03,0,0,0
2020-07-04,0,0,5
2020-07-05,0,0,5
2020-07-06,0,0,4
2020-07-07,0,0,4
2020-07-08,0,0,0
2020-07-09,0,3,4
2020-07-10,0,0,4
2020-07-11,0,0,6
2020-07-12,0,0,0
2020-07-13,0,0,5
2020-07-14,0,0,4
2020-07-15,20,4,6
2020-07-16,13,0,4
2020-07-17,4,0,5
2020-07-18,0,0,0
2020-07-19,0,0,0
2020-07-20,0,0,0
2020-07-21,5,0,0
2020-07-22,5,0,4
2020-07-23,4,0,7
2020-07-24,0,0,5
2020-07-25,0,0,4
2020-07-26,0,0,0
2020-07-27,0,0,5
2020-07-28,4,0,4
2020-07-29,0,0,5
2020-07-30,13,0,4
2020-07-31,27,5,0
2020-08-01,8,5,0
2020-08-02,17,11,4
2020-08-03,12,8,0
2020-08-04,7,5,5
2020-08-05,0,0,5
2020-08-06,4,0,5
2020-08-07,3,3,0
2020-08-08,0,0,5
2020-08-09,4,0,4
2020-08-10,3,0,7
2020-08-11,0,5,6
2020-08-12,0,0,5
2020-08-13,3,4,4
2020-08-14,3,0,6
2020-08-15,4,0,0
2020-08-16,9,0,5
2020-08-17,25,4,5
2020-08-18,10,0,6
2020-08-19,0,0,5
2020-08-20,0,0,7
2020-08-21,3,0,5
2020-08-22,0,0,5
2020-08-23,0,4,5
2020-08-24,0,4,10
2020-08-25,0,0,9
2020-08-26,0,0,9
2020-08-27,0,0,9
2020-08-28,0,0,8
2020-08-29,0,0,6
2020-08-30,0,0,4
2020-08-31,19,5,6
2020-09-01,17,4,8
2020-09-02,6,0,4
2020-09-03,3,6,12
2020-09-04,0,0,8
2020-09-05,0,0,9
2020-09-06,0,4,7
2020-09-07,3,3,9
2020-09-08,0,0,8
2020-09-09,0,3,10
2020-09-10,0,3,12
2020-09-11,0,3,12
2020-09-12,3,0,7
2020-09-13,0,0,8
2020-09-14,0,0,13
2020-09-15,0,0,10
2020-09-16,3,4,14
2020-09-17,0,0,11
2020-09-18,3,0,12
2020-09-19,0,0,10
2020-09-20,0,0,11
2020-09-21,0,0,9
2020-09-22,3,4,11
2020-09-23,3,3,13
2020-09-24,3,4,14
2020-09-25,0,0,12
2020-09-26,0,0,10
2020-09-27,0,0,9
2020-09-28,5,0,12
2020-09-29,6,7,13
2020-09-30,4,6,13
2020-10-01,3,6,14
2020-10-02,3,6,18
2020-10-03,4,5,15
2020-10-04,4,4,16
2020-10-05,3,11,22
2020-10-06,0,12,25
2020-10-07,3,11,23
2020-10-08,0,8,30
2020-10-09,0,5,22
2020-10-10,0,5,16
2020-10-11,0,7,18
2020-10-12,0,7,21
2020-10-13,0,6,25
2020-10-14,0,6,31
2020-10-15,2,7,28
2020-10-16,0,6,23
2020-10-17,3,4,20
2020-10-18,0,0,25
2020-10-19,0,3,22
2020-10-20,0,5,22
2020-10-21,0,6,21
2020-10-22,0,7,25
2020-10-23,0,4,17
2020-10-24,0,3,21
2020-10-25,0,0,19
2020-10-26,4,5,22
2020-10-27,6,3,22
2020-10-28,0,3,19
2020-10-29,4,3,27
2020-10-30,0,0,20
2020-10-31,0,0,16
2020-11-01,0,4,9
2020-11-02,0,6,19
2020-11-03,3,3,21
2020-11-04,0,5,22
2020-11-05,0,5,23
2020-11-06,0,4,16
2020-11-07,0,4,14
2020-11-08,0,5,18
2020-11-09,0,6,19
2020-11-10,0,0,19
2020-11-11,0,0,22
2020-11-12,5,0,18
2020-11-13,0,0,16
2020-11-14,0,0,12
2020-11-15,0,0,17
2020-11-16,4,0,16
2020-11-17,0,3,19
2020-11-18,0,0,19
2020-11-19,0,5,22
2020-11-20,0,5,16
2020-11-21,0,0,17
2020-11-22,0,0,19
2020-11-23,0,3,15
2020-11-24,0,3,18
2020-11-25,0,0,20
2020-11-26,0,3,22
2020-11-27,0,0,15
2020-11-28,0,0,15
2020-11-29,0,0,15
2020-11-30,7,4,25
2020-12-01,3,3,21
2020-12-02,0,3,18
2020-12-03,0,3,25
2020-12-04,3,0,17
