Category: All categories

Day,bakuna sa: (Philippines),bureau quarantine: (Philippines),home quarantine: (Philippines),kahalagahan ng bakuna: (Philippines),ofw quarantine: (Philippines)
2021-09-01,0,93,27,0,0
2021-09-02,26,65,0,0,22
2021-09-03,23,78,18,0,0
2021-09-04,0,66,0,0,0
2021-09-05,0,59,0,0,0
2021-09-06,0,70,16,0,0
2021-09-07,23,69,18,0,0
2021-09-08,0,76,17,0,16
2021-09-09,17,59,30,0,0
2021-09-10,0,74,18,0,0
2021-09-11,0,39,0,0,0
2021-09-12,0,43,0,0,0
2021-09-13,16,61,25,0,0
2021-09-14,20,64,34,0,0
2021-09-15,20,52,31,0,0
2021-09-16,21,56,21,0,0
2021-09-17,31,67,25,0,15
2021-09-18,26,50,20,0,0
2021-09-19,0,32,0,0,0
2021-09-20,17,47,37,0,0
2021-09-21,21,51,30,0,0
2021-09-22,22,55,30,0,0
2021-09-23,25,54,33,0,0
2021-09-24,55,53,34,0,0
2021-09-25,44,33,19,0,0
2021-09-26,61,37,33,0,18
2021-09-27,22,60,35,0,0
2021-09-28,33,60,24,0,0
2021-09-29,0,57,28,0,17
2021-09-30,17,69,34,0,0
2021-10-01,21,48,17,0,21
2021-10-02,0,37,0,0,0
2021-10-03,0,35,33,0,0
2021-10-04,16,57,27,0,0
2021-10-05,22,59,32,0,0
2021-10-06,30,42,30,0,0
2021-10-07,32,57,31,0,0
2021-10-08,27,61,28,0,25
2021-10-09,17,62,29,0,22
2021-10-10,22,37,31,0,0
2021-10-11,28,83,28,0,0
2021-10-12,60,59,36,0,0
2021-10-13,77,79,31,0,20
2021-10-14,60,91,26,0,14
2021-10-15,22,55,34,0,0
2021-10-16,26,47,26,0,16
2021-10-17,23,32,28,0,18
2021-10-18,38,62,35,0,0
2021-10-19,39,69,30,0,0
2021-10-20,15,60,34,0,15
2021-10-21,36,79,24,0,16
2021-10-22,28,68,24,0,0
2021-10-23,25,46,21,0,0
2021-10-24,20,49,33,0,0
2021-10-25,30,76,26,0,0
2021-10-26,37,80,28,0,0
2021-10-27,39,61,26,0,15
2021-10-28,27,64,38,0,0
2021-10-29,27,66,31,0,0
2021-10-30,21,32,0,0,19
2021-10-31,0,36,0,0,0
2021-11-01,33,37,0,0,0
2021-11-02,35,62,24,0,14
2021-11-03,29,84,24,0,0
2021-11-04,15,70,33,0,13
2021-11-05,30,81,0,0,15
2021-11-06,20,41,27,0,0
2021-11-07,26,51,30,0,0
2021-11-08,30,77,29,0,19
2021-11-09,24,73,17,0,17
2021-11-10,38,64,23,0,17
2021-11-11,28,68,13,0,0
2021-11-12,29,85,18,0,18
2021-11-13,0,33,0,0,21
2021-11-14,43,48,21,0,0
2021-11-15,30,97,17,0,15
2021-11-16,29,77,13,0,0
2021-11-17,26,98,17,0,20
2021-11-18,32,79,0,0,24
2021-11-19,27,100,27,0,15
2021-11-20,29,43,0,0,24
2021-11-21,28,46,28,0,0
2021-11-22,16,45,26,0,0
2021-11-23,27,75,0,0,0
2021-11-24,26,74,0,0,15
2021-11-25,30,64,24,0,0
2021-11-26,23,50,16,0,0
2021-11-27,28,40,21,0,0
2021-11-28,23,52,23,0,27
2021-11-29,33,76,14,0,20
2021-11-30,34,41,0,0,17
2021-12-01,18,70,15,0,17
2021-12-02,31,57,20,0,17
2021-12-03,23,56,26,20,25
2021-12-04,0,48,23,0,0
2021-12-05,18,40,21,0,0
2021-12-06,28,52,18,0,0
2021-12-07,16,58,0,0,15
2021-12-08,22,50,0,0,17
2021-12-09,30,66,0,0,21
2021-12-10,0,43,0,0,0
2021-12-11,19,40,0,0,0
2021-12-12,25,34,0,0,0
2021-12-13,33,35,18,0,0
2021-12-14,18,48,24,0,0
2021-12-15,29,48,15,0,26
2021-12-16,42,80,0,0,0
2021-12-17,31,55,0,0,0
2021-12-18,0,39,0,0,0
2021-12-19,0,31,0,0,0
2021-12-20,0,58,0,0,0
2021-12-21,0,69,0,0,0
2021-12-22,0,46,0,0,0
2021-12-23,0,35,0,0,0
2021-12-24,0,0,0,0,0
2021-12-25,0,27,0,0,0
2021-12-26,0,0,0,0,0
2021-12-27,0,55,0,0,0
2021-12-28,0,60,0,0,0
2021-12-29,0,66,0,0,0
2021-12-30,0,48,0,0,26
2021-12-31,0,0,0,0,0
2022-01-01,0,35,0,0,20
2022-01-02,0,33,0,0,22
2022-01-03,23,73,22,0,24
2022-01-04,24,47,27,0,0
2022-01-05,20,69,0,0,26
2022-01-06,34,56,27,0,22
2022-01-07,41,55,35,0,0
2022-01-08,23,38,35,0,17
2022-01-09,33,37,26,0,0
2022-01-10,32,69,32,0,19
2022-01-11,18,59,23,0,0
2022-01-12,43,60,27,0,0
2022-01-13,29,60,34,0,20
2022-01-14,24,46,31,0,0
2022-01-15,0,44,35,0,18
2022-01-16,28,50,26,0,21
2022-01-17,32,45,0,0,15
2022-01-18,33,70,21,0,14
2022-01-19,21,43,28,0,0
2022-01-20,25,58,26,0,0
2022-01-21,38,51,30,0,16
2022-01-22,0,26,24,0,0
2022-01-23,21,38,19,0,0
2022-01-24,22,60,17,0,0
2022-01-25,33,57,0,0,0
2022-01-26,26,60,13,0,0
2022-01-27,29,57,0,0,0
2022-01-28,38,48,14,0,20
2022-01-29,0,31,0,0,17
2022-01-30,27,42,0,0,27
2022-01-31,16,47,13,0,0
2022-02-01,15,49,0,0,0
2022-02-02,14,61,0,0,0
2022-02-03,20,45,0,0,0
2022-02-04,0,51,0,0,0
