Category: All categories

Day,ofw quarantine: (Philippines),pandemic essay: (Philippines),quarantine certificate: (Philippines),quarantine hotel: (Philippines),quarantine meaning: (Philippines)
2021-09-01,0,31,0,18,18
2021-09-02,19,29,0,24,19
2021-09-03,0,27,19,0,0
2021-09-04,0,37,0,20,17
2021-09-05,0,23,0,0,0
2021-09-06,0,34,0,19,33
2021-09-07,0,29,0,32,16
2021-09-08,15,54,0,20,15
2021-09-09,0,44,24,26,18
2021-09-10,0,32,0,20,0
2021-09-11,0,21,18,22,0
2021-09-12,0,52,22,27,0
2021-09-13,0,36,0,18,27
2021-09-14,0,60,0,18,23
2021-09-15,0,79,15,17,38
2021-09-16,0,79,0,15,27
2021-09-17,14,80,16,0,32
2021-09-18,0,72,0,18,29
2021-09-19,0,76,15,0,20
2021-09-20,0,78,13,0,18
2021-09-21,0,78,0,14,30
2021-09-22,0,79,18,20,24
2021-09-23,0,91,0,31,28
2021-09-24,0,74,0,19,17
2021-09-25,0,78,0,25,0
2021-09-26,16,94,0,15,17
2021-09-27,0,71,0,0,17
2021-09-28,0,81,15,17,13
2021-09-29,15,79,0,0,26
2021-09-30,0,97,0,14,23
2021-10-01,18,74,13,17,26
2021-10-02,0,65,0,0,17
2021-10-03,0,70,21,32,22
2021-10-04,0,73,0,13,16
2021-10-05,0,79,13,12,15
2021-10-06,0,85,0,15,20
2021-10-07,0,87,0,15,13
2021-10-08,22,77,17,13,21
2021-10-09,20,83,0,22,0
2021-10-10,0,84,0,16,0
2021-10-11,0,72,13,20,24
2021-10-12,0,82,18,15,19
2021-10-13,18,67,15,13,25
2021-10-14,13,95,18,16,21
2021-10-15,0,74,0,16,0
2021-10-16,15,71,0,0,0
2021-10-17,16,83,0,27,20
2021-10-18,0,87,13,0,0
2021-10-19,0,76,14,19,18
2021-10-20,13,82,0,30,16
2021-10-21,14,94,0,16,15
2021-10-22,0,66,19,0,0
2021-10-23,0,61,0,0,0
2021-10-24,0,64,0,0,0
2021-10-25,0,93,0,19,14
2021-10-26,0,81,0,13,16
2021-10-27,13,80,0,13,15
2021-10-28,0,84,0,23,30
2021-10-29,0,61,0,18,14
2021-10-30,17,54,0,0,0
2021-10-31,0,62,0,19,0
2021-11-01,0,57,0,17,0
2021-11-02,13,65,13,0,16
2021-11-03,0,70,20,15,24
2021-11-04,12,59,0,17,22
2021-11-05,13,54,0,0,0
2021-11-06,0,58,0,22,0
2021-11-07,0,77,0,24,0
2021-11-08,17,68,14,0,24
2021-11-09,15,72,13,19,23
2021-11-10,15,74,0,17,17
2021-11-11,0,79,0,0,14
2021-11-12,16,72,0,0,0
2021-11-13,19,46,0,0,0
2021-11-14,0,52,0,0,0
2021-11-15,13,57,12,20,18
2021-11-16,0,58,0,0,17
2021-11-17,18,82,16,0,16
2021-11-18,22,74,0,14,0
2021-11-19,14,80,19,19,0
2021-11-20,21,48,0,18,0
2021-11-21,0,59,21,24,0
2021-11-22,0,61,0,18,0
2021-11-23,0,69,13,22,14
2021-11-24,13,63,0,15,0
2021-11-25,0,73,0,15,13
2021-11-26,0,49,0,13,0
2021-11-27,0,52,0,0,0
2021-11-28,24,64,0,0,0
2021-11-29,18,51,0,0,13
2021-11-30,15,60,16,23,21
2021-12-01,15,62,0,21,0
2021-12-02,15,76,0,17,0
2021-12-03,22,69,0,0,0
2021-12-04,0,53,0,0,18
2021-12-05,0,55,0,22,16
2021-12-06,0,63,0,16,0
2021-12-07,14,68,0,15,14
2021-12-08,15,80,0,0,0
2021-12-09,18,81,0,21,16
2021-12-10,0,76,0,25,0
2021-12-11,0,52,0,21,0
2021-12-12,0,82,0,0,0
2021-12-13,0,57,0,17,0
2021-12-14,0,72,0,0,0
2021-12-15,23,73,0,15,0
2021-12-16,0,42,0,18,0
2021-12-17,0,42,0,24,0
2021-12-18,0,26,0,21,0
2021-12-19,0,36,0,22,0
2021-12-20,0,22,0,0,0
2021-12-21,0,20,0,28,0
2021-12-22,0,0,0,0,0
2021-12-23,0,0,0,18,0
2021-12-24,0,0,0,0,0
2021-12-25,0,0,0,0,0
2021-12-26,0,0,0,0,0
2021-12-27,0,0,0,23,0
2021-12-28,0,0,0,0,0
2021-12-29,0,24,0,24,0
2021-12-30,24,0,0,57,0
2021-12-31,0,0,0,48,0
2022-01-01,18,19,0,0,0
2022-01-02,19,37,0,18,0
2022-01-03,21,44,0,33,20
2022-01-04,0,34,0,43,0
2022-01-05,23,46,0,34,22
2022-01-06,20,57,0,32,42
2022-01-07,0,44,14,39,29
2022-01-08,15,52,0,26,21
2022-01-09,0,54,0,18,0
2022-01-10,17,50,0,24,20
2022-01-11,0,51,0,21,25
2022-01-12,0,60,12,14,23
2022-01-13,18,63,19,19,0
2022-01-14,0,36,0,36,19
2022-01-15,16,63,0,28,14
2022-01-16,19,44,0,25,25
2022-01-17,14,44,17,19,16
2022-01-18,13,44,0,17,21
2022-01-19,0,40,0,17,13
2022-01-20,0,46,0,19,0
2022-01-21,14,44,0,18,0
2022-01-22,0,33,0,20,0
2022-01-23,0,63,0,14,0
2022-01-24,0,52,15,14,14
2022-01-25,0,60,13,14,0
2022-01-26,0,46,10,20,11
2022-01-27,0,61,14,0,0
2022-01-28,18,49,12,14,0
2022-01-29,15,37,0,15,0
2022-01-30,24,35,0,0,21
2022-01-31,0,43,0,0,0
2022-02-01,0,44,0,0,0
2022-02-02,0,33,11,0,0
2022-02-03,0,47,0,12,0
2022-02-04,0,40,0,22,16
2022-02-05,0,46,32,0,0
2022-02-06,0,47,0,18,0
2022-02-07,0,52,11,0,0
2022-02-08,0,64,0,0,0
2022-02-09,0,68,11,0,19
2022-02-10,0,48,0,0,0
2022-02-11,0,56,0,0,0
2022-02-12,0,59,0,0,0
2022-02-13,0,69,0,0,12
2022-02-14,0,57,0,0,9
2022-02-15,0,87,0,0,0
2022-02-16,0,94,0,0,9
2022-02-17,0,94,0,0,14
2022-02-18,7,92,0,8,10
2022-02-19,0,88,8,0,0
2022-02-20,0,98,0,0,11
2022-02-21,0,91,8,0,11
2022-02-22,9,74,0,8,15
2022-02-23,10,100,10,8,8
2022-02-24,8,76,0,9,11
2022-02-25,0,79,0,0,10
2022-02-26,0,79,0,0,10
2022-02-27,0,98,0,9,9
2022-02-28,0,85,0,0,0
2022-03-01,0,80,0,0,10
2022-03-02,0,75,0,0,8
2022-03-03,7,74,0,0,10
2022-03-04,0,81,8,0,9
2022-03-05,0,80,0,0,0
2022-03-06,0,82,0,0,0
2022-03-07,0,79,8,7,0
2022-03-08,0,85,0,0,0
2022-03-09,13,87,0,0,0
2022-03-10,0,85,0,0,11
2022-03-11,0,71,0,0,0
2022-03-12,0,75,0,0,0
2022-03-13,0,89,0,0,11
2022-03-14,14,76,9,7,8
2022-03-15,0,81,0,0,15
2022-03-16,0,78,8,0,13
2022-03-17,0,84,0,0,7
2022-03-18,0,75,10,0,9
2022-03-19,0,83,0,0,0
2022-03-20,0,85,0,0,10
2022-03-21,0,76,0,0,0
2022-03-22,0,72,0,8,11
2022-03-23,0,74,0,9,8
2022-03-24,0,75,0,0,9
2022-03-25,0,56,0,0,0
2022-03-26,0,53,0,0,0
2022-03-27,0,69,0,0,0
2022-03-28,0,79,9,0,9
2022-03-29,0,56,8,0,10
2022-03-30,0,80,8,0,13
2022-03-31,0,75,0,0,9
2022-04-01,0,66,0,0,10
2022-04-02,0,58,0,0,0
2022-04-03,0,65,0,0,0
2022-04-04,0,69,0,8,0
2022-04-05,0,67,0,0,7
2022-04-06,0,58,7,0,12
2022-04-07,0,74,0,0,11
2022-04-08,0,59,0,0,0
2022-04-09,0,53,0,0,9
2022-04-10,0,73,0,0,8
2022-04-11,0,51,0,0,0
2022-04-12,0,40,0,0,0
2022-04-13,0,36,0,0,0
2022-04-14,0,24,0,0,0
2022-04-15,0,36,0,0,0
2022-04-16,0,30,0,0,0
2022-04-17,0,49,0,0,0
2022-04-18,0,53,0,8,0
2022-04-19,0,62,0,0,7
2022-04-20,0,67,0,0,9
2022-04-21,0,59,0,8,7
2022-04-22,0,43,11,0,9
2022-04-23,0,58,0,0,0
2022-04-24,0,66,0,0,0
2022-04-25,0,57,0,0,0
2022-04-26,0,57,0,0,8
2022-04-27,0,51,0,0,8
2022-04-28,0,59,0,0,8
2022-04-29,0,44,0,0,11
2022-04-30,0,51,0,0,0
2022-05-01,0,41,9,0,0
2022-05-02,0,41,0,0,0
2022-05-03,0,34,0,0,0
2022-05-04,0,40,0,0,0
2022-05-05,0,37,0,0,0
2022-05-06,0,26,0,0,0
2022-05-07,0,32,0,0,0
2022-05-08,0,16,0,0,0
2022-05-09,0,15,0,0,0
2022-05-10,0,37,7,0,0
2022-05-11,0,39,0,0,0
2022-05-12,0,39,0,0,0
2022-05-13,0,26,0,0,0
2022-05-14,0,43,0,0,14
2022-05-15,0,57,0,0,11
2022-05-16,0,50,0,0,9
2022-05-17,0,49,0,0,0
2022-05-18,0,59,0,0,11
2022-05-19,0,47,11,0,0
2022-05-20,0,44,0,0,0
2022-05-21,0,36,0,0,11
2022-05-22,0,44,0,0,0
2022-05-23,0,70,0,0,0
2022-05-24,0,49,0,0,0
2022-05-25,0,48,0,0,0
2022-05-26,0,51,0,0,12
2022-05-27,0,43,0,0,0
2022-05-28,0,29,0,0,0
