Category: All categories

Day,quarantine meaning: (Philippines),quarantine status: (Philippines),quarantine tagalog: (Philippines),side effects ng bakuna sa: (Philippines),time pandemic: (Philippines)
2021-09-01,11,28,8,0,28
2021-09-02,11,23,0,0,24
2021-09-03,0,23,0,0,26
2021-09-04,10,25,0,0,32
2021-09-05,0,47,0,0,30
2021-09-06,19,85,9,0,26
2021-09-07,9,73,9,0,31
2021-09-08,9,38,0,0,41
2021-09-09,10,22,0,0,37
2021-09-10,0,16,0,0,32
2021-09-11,0,13,0,0,31
2021-09-12,0,23,0,0,34
2021-09-13,16,24,9,0,59
2021-09-14,13,36,13,0,68
2021-09-15,22,32,15,0,75
2021-09-16,16,31,10,0,68
2021-09-17,19,22,14,0,69
2021-09-18,17,25,16,0,58
2021-09-19,12,14,9,0,83
2021-09-20,10,15,9,0,85
2021-09-21,18,19,13,0,83
2021-09-22,14,12,15,0,88
2021-09-23,16,13,0,0,100
2021-09-24,10,0,13,17,84
2021-09-25,0,0,0,15,81
2021-09-26,10,18,0,18,91
2021-09-27,10,12,0,0,65
2021-09-28,8,19,10,0,82
2021-09-29,15,25,10,0,84
2021-09-30,14,74,0,0,91
2021-10-01,15,47,0,0,82
2021-10-02,10,16,0,0,67
2021-10-03,13,17,0,0,70
2021-10-04,10,14,9,0,73
2021-10-05,9,11,10,0,82
2021-10-06,11,10,10,0,92
2021-10-07,8,14,8,0,91
2021-10-08,12,18,8,0,84
2021-10-09,0,11,0,0,76
2021-10-10,0,15,0,0,86
2021-10-11,14,18,0,0,81
2021-10-12,11,15,12,15,89
2021-10-13,15,17,11,13,80
2021-10-14,12,22,10,10,86
2021-10-15,0,14,10,0,81
2021-10-16,0,21,0,0,69
2021-10-17,11,22,12,0,83
2021-10-18,0,9,0,0,77
2021-10-19,10,13,0,0,77
2021-10-20,9,13,0,0,86
2021-10-21,9,15,0,0,90
2021-10-22,0,0,0,0,76
2021-10-23,0,10,0,0,72
2021-10-24,0,0,0,0,83
2021-10-25,8,9,0,0,87
2021-10-26,10,12,0,0,81
2021-10-27,9,9,0,0,76
2021-10-28,18,8,10,0,85
2021-10-29,8,13,0,0,73
2021-10-30,0,15,0,0,68
2021-10-31,0,13,0,0,65
2021-11-01,0,19,0,0,57
2021-11-02,9,11,0,0,77
2021-11-03,14,14,0,0,81
2021-11-04,13,0,0,0,77
2021-11-05,0,16,0,0,70
2021-11-06,0,0,0,0,59
2021-11-07,0,0,0,0,78
2021-11-08,14,8,12,0,64
2021-11-09,14,8,0,0,68
2021-11-10,10,11,0,0,67
2021-11-11,8,0,0,0,81
2021-11-12,0,11,0,0,55
2021-11-13,0,0,0,0,56
2021-11-14,0,0,0,0,59
2021-11-15,10,10,0,0,57
2021-11-16,10,0,0,0,54
2021-11-17,9,0,8,0,61
2021-11-18,0,0,7,0,68
2021-11-19,0,0,0,0,56
2021-11-20,0,0,9,0,51
2021-11-21,0,0,0,0,58
2021-11-22,0,0,0,0,57
2021-11-23,8,0,0,0,71
2021-11-24,0,0,0,0,79
2021-11-25,8,0,0,0,69
2021-11-26,0,0,0,0,54
2021-11-27,0,0,0,0,41
2021-11-28,0,0,0,0,48
2021-11-29,8,9,9,0,60
2021-11-30,12,0,0,0,60
2021-12-01,0,0,0,0,68
2021-12-02,0,0,8,0,80
2021-12-03,0,0,8,0,60
2021-12-04,10,0,0,0,56
2021-12-05,9,0,0,0,65
2021-12-06,0,0,0,0,75
2021-12-07,8,0,0,0,58
2021-12-08,0,0,0,0,73
2021-12-09,9,0,0,0,82
2021-12-10,0,0,0,0,63
2021-12-11,0,0,0,0,59
2021-12-12,0,0,0,0,67
2021-12-13,0,0,0,9,61
2021-12-14,0,0,0,0,58
2021-12-15,0,0,0,0,53
2021-12-16,0,0,0,0,38
2021-12-17,0,0,0,0,34
2021-12-18,0,0,0,0,23
2021-12-19,0,0,0,0,32
2021-12-20,0,0,0,0,21
2021-12-21,0,0,0,0,22
2021-12-22,0,0,0,0,15
2021-12-23,0,0,0,0,0
2021-12-24,0,0,0,0,0
2021-12-25,0,0,0,0,0
2021-12-26,0,0,0,0,13
2021-12-27,0,0,0,0,15
2021-12-28,0,0,0,0,13
2021-12-29,0,0,0,0,19
2021-12-30,0,0,0,0,0
2021-12-31,0,0,0,0,0
2022-01-01,0,0,0,0,15
2022-01-02,0,0,0,0,38
2022-01-03,12,8,0,0,44
2022-01-04,0,14,0,0,34
2022-01-05,13,0,10,0,43
2022-01-06,25,0,11,0,47
2022-01-07,17,7,9,0,40
2022-01-08,12,0,0,0,36
2022-01-09,0,0,8,0,56
2022-01-10,12,0,13,0,45
2022-01-11,14,0,9,0,49
2022-01-12,13,0,0,0,51
2022-01-13,0,0,0,0,52
2022-01-14,11,0,0,0,36
2022-01-15,8,0,0,0,50
2022-01-16,14,0,0,0,36
2022-01-17,9,0,0,0,41
2022-01-18,12,0,0,0,39
2022-01-19,8,0,9,0,33
2022-01-20,0,0,0,0,41
2022-01-21,0,0,8,13,37
2022-01-22,0,0,0,0,39
2022-01-23,0,0,7,0,60
2022-01-24,8,0,6,0,60
2022-01-25,0,0,0,0,50
2022-01-26,6,0,6,0,51
2022-01-27,0,0,0,0,42
2022-01-28,0,0,0,0,44
2022-01-29,0,0,0,0,28
2022-01-30,12,8,0,0,33
2022-01-31,0,0,0,0,38
2022-02-01,0,0,0,0,34
2022-02-02,0,0,0,0,36
2022-02-03,0,0,0,0,43
2022-02-04,9,0,0,0,37
2022-02-05,0,0,0,0,24
2022-02-06,0,0,0,0,46
2022-02-07,0,0,0,0,41
2022-02-08,0,0,0,0,52
2022-02-09,11,0,0,0,65
2022-02-10,0,0,0,0,46
2022-02-11,0,0,0,0,48
2022-02-12,0,0,0,0,48
2022-02-13,7,0,0,0,64
2022-02-14,5,5,6,0,58
2022-02-15,0,0,0,0,76
2022-02-16,5,0,0,0,82
2022-02-17,8,0,4,0,72
2022-02-18,6,0,5,9,80
2022-02-19,0,0,7,0,70
