,date,new_cases
0,2020-03-10,9
1,2020-03-11,13
2,2020-03-12,3
3,2020-03-13,11
4,2020-03-14,46
5,2020-03-15,28
6,2020-03-16,1
7,2020-03-17,43
8,2020-03-18,15
9,2020-03-19,14
10,2020-03-20,13
11,2020-03-21,74
12,2020-03-22,69
13,2020-03-23,79
14,2020-03-24,88
15,2020-03-25,81
16,2020-03-26,66
17,2020-03-27,98
18,2020-03-28,258
19,2020-03-29,318
20,2020-03-30,124
21,2020-03-31,511
22,2020-04-01,216
23,2020-04-02,305
24,2020-04-03,365
25,2020-04-04,72
26,2020-04-05,138
27,2020-04-06,379
28,2020-04-07,96
29,2020-04-08,100
30,2020-04-09,191
31,2020-04-10,107
32,2020-04-11,211
33,2020-04-12,210
34,2020-04-13,249
35,2020-04-14,269
36,2020-04-15,213
37,2020-04-16,176
38,2020-04-17,202
39,2020-04-18,196
40,2020-04-19,161
41,2020-04-20,191
42,2020-04-21,129
43,2020-04-22,99
44,2020-04-23,261
45,2020-04-24,196
46,2020-04-25,95
47,2020-04-26,265
48,2020-04-27,189
49,2020-04-28,174
50,2020-04-29,231
51,2020-04-30,261
52,2020-05-01,276
53,2020-05-02,153
54,2020-05-03,288
55,2020-05-04,253
56,2020-05-05,191
57,2020-05-06,314
58,2020-05-07,324
59,2020-05-08,115
60,2020-05-09,136
61,2020-05-10,176
62,2020-05-11,279
63,2020-05-12,256
64,2020-05-13,258
65,2020-05-14,251
66,2020-05-15,205
67,2020-05-16,210
68,2020-05-17,199
69,2020-05-18,201
70,2020-05-19,213
71,2020-05-20,269
72,2020-05-21,209
73,2020-05-22,159
74,2020-05-23,172
75,2020-05-24,248
76,2020-05-25,275
77,2020-05-26,334
78,2020-05-27,364
79,2020-05-28,512
80,2020-05-29,1022
81,2020-05-30,564
82,2020-05-31,821
83,2020-06-01,532
84,2020-06-02,351
85,2020-06-03,731
86,2020-06-04,617
87,2020-06-05,235
88,2020-06-06,679
89,2020-06-07,540
90,2020-06-08,557
91,2020-06-09,496
92,2020-06-10,712
93,2020-06-11,430
94,2020-06-12,597
95,2020-06-13,586
96,2020-06-14,512
97,2020-06-15,468
98,2020-06-16,353
99,2020-06-17,444
100,2020-06-18,545
101,2020-06-19,638
102,2020-06-20,927
103,2020-06-21,632
104,2020-06-22,610
105,2020-06-23,1110
106,2020-06-24,455
107,2020-06-25,746
108,2020-06-26,981
109,2020-06-27,717
110,2020-06-28,624
111,2020-06-29,947
112,2020-06-30,1025
113,2020-07-01,824
114,2020-07-02,251
115,2020-07-03,1448
116,2020-07-04,1326
117,2020-07-05,2273
118,2020-07-06,1946
119,2020-07-07,1448
120,2020-07-08,2269
121,2020-07-09,1308
122,2020-07-10,1149
123,2020-07-11,1299
124,2020-07-12,2019
125,2020-07-13,793
126,2020-07-14,585
127,2020-07-15,1239
128,2020-07-16,2345
129,2020-07-17,1636
130,2020-07-18,2183
131,2020-07-19,2111
132,2020-07-20,1468
133,2020-07-21,1879
134,2020-07-22,1418
