date,new_cases
2020-12-05,1672
2020-12-06,1701
2020-12-07,1529
2020-12-08,1353
2020-12-09,1350
2020-12-10,1329
2020-12-11,1462
2020-12-12,1258
2020-12-13,1008
2020-12-14,1281
2020-12-15,1101
2020-12-16,1108
2020-12-17,1417
2020-12-18,2056
2020-12-19,1431
2020-12-20,1680
2020-12-21,1640
2020-12-22,1261
2020-12-23,1164
2020-12-24,1729
2020-12-25,1828
2020-12-26,1355
2020-12-27,847
2020-12-28,744
2020-12-29,854
2020-12-30,977
2020-12-31,1484
2021-01-01,1700
2021-01-02,1065
2021-01-03,857
2021-01-04,930
2021-01-05,903
2021-01-06,1001
2021-01-07,1311
2021-01-08,1718
2021-01-09,1883
2021-01-10,1849
2021-01-11,1996
2021-01-12,1478
2021-01-13,1405
2021-01-14,1854
2021-01-15,1991
2021-01-16,2001
2021-01-17,1832
2021-01-18,2108
2021-01-19,1307
2021-01-20,1625
2021-01-21,1708
2021-01-22,2097
2021-01-23,1741
2021-01-24,1881
2021-01-25,1530
2021-01-26,1148
2021-01-27,2172
2021-01-28,1134
2021-01-29,1783
2021-01-30,2045
2021-01-31,2030
2021-02-01,1596
2021-02-02,1542
2021-02-03,1224
2021-02-04,1540
2021-02-05,1816
2021-02-06,1890
2021-02-07,1744
2021-02-08,1631
2021-02-09,1197
2021-02-10,1301
2021-02-11,1689
2021-02-12,1965
2021-02-13,1898
2021-02-14,1864
2021-02-15,1635
2021-02-16,1350
2021-02-17,1146
2021-02-18,1672
2021-02-19,1830
2021-02-20,2171
2021-02-21,1824
2021-02-22,2197
2021-02-23,1362
2021-02-24,1494
2021-02-25,2182
2021-02-26,2562
2021-02-27,2830
2021-02-28,2026
2021-03-01,1959
2021-03-02,1994
2021-03-03,1716
2021-03-04,2315
2021-03-05,2915
2021-03-06,3287
2021-03-07,3132
2021-03-08,3231
2021-03-09,2561
2021-03-10,2749
2021-03-11,3595
2021-03-12,4376
2021-03-13,4787
2021-03-14,4669
2021-03-15,5163
2021-03-16,4243
2021-03-17,4175
2021-03-18,5023
2021-03-19,6749
2021-03-20,7598
2021-03-21,7369
2021-03-22,7660
2021-03-23,5608
2021-03-24,6313
2021-03-25,8352
2021-03-26,9305
2021-03-27,9111
2021-03-28,8992
2021-03-29,9504
2021-03-30,8893
2021-03-31,5875
2021-04-01,8469
2021-04-02,14706
2021-04-03,12073
2021-04-04,10601
2021-04-05,8024
2021-04-06,8949
2021-04-07,6104
2021-04-08,8781
2021-04-09,11676
2021-04-10,12180
2021-04-11,11206
2021-04-12,10883
2021-04-13,8263
2021-04-14,7822
2021-04-15,10973
2021-04-16,10282
2021-04-17,10708
2021-04-18,9708
2021-04-19,9298
2021-04-20,7136
2021-04-21,8884
2021-04-22,8455
2021-04-23,8405
2021-04-24,9347
2021-04-25,7844
2021-04-26,8605
2021-04-27,6986
2021-04-28,6686
2021-04-29,7958
2021-04-30,8484
2021-05-01,8939
2021-05-02,8121
2021-05-03,7029
2021-05-04,5510
2021-05-05,5476
2021-05-06,6421
2021-05-07,7511
2021-05-08,6767
2021-05-09,6944
2021-05-10,6642
2021-05-11,4597
2021-05-12,4715
2021-05-13,6153
2021-05-14,6574
2021-05-15,6555
2021-05-16,5616
2021-05-17,5807
2021-05-18,4365
2021-05-19,4552
2021-05-20,5904
2021-05-21,6076
2021-05-22,6657
2021-05-23,2978
2021-05-24,4826
2021-05-25,3887
2021-05-26,5174
2021-05-27,6317
2021-05-28,8499
2021-05-29,7230
2021-05-30,6869
2021-05-31,6522
2021-06-01,5048
2021-06-02,5099
2021-06-03,7038
2021-06-04,7268
2021-06-05,6769
2021-06-06,7016
2021-06-07,6388
2021-06-08,4661
2021-06-09,5329
2021-06-10,7300
2021-06-11,6486
2021-06-12,7840
2021-06-13,7101
2021-06-14,6262
2021-06-15,5268
2021-06-16,5275
2021-06-17,6475
2021-06-18,6674
2021-06-19,6782
2021-06-20,5663
2021-06-21,5065
2021-06-22,3616
2021-06-23,4249
2021-06-24,5854
2021-06-25,6623
2021-06-26,6733
2021-06-27,5937
2021-06-28,5462
2021-06-29,4357
2021-06-30,4393
2021-07-01,5674
2021-07-02,6048
2021-07-03,5748
2021-07-04,5827
2021-07-05,5267
2021-07-06,4018
2021-07-07,4196
2021-07-08,5346
2021-07-09,5748
2021-07-10,5524
2021-07-11,5796
2021-07-12,5065
2021-07-13,3513
2021-07-14,3711
2021-07-15,5104
2021-07-16,5531
2021-07-17,5862
2021-07-18,5262
2021-07-19,5486
2021-07-20,4381
2021-07-21,5678
2021-07-22,5204
2021-07-23,6183
2021-07-24,5978
2021-07-25,4775
2021-07-26,5918
2021-07-27,4413
2021-07-28,4045
2021-07-29,5588
2021-07-30,7949
2021-07-31,8071
2021-08-01,8660
2021-08-02,8081
2021-08-03,6807
2021-08-04,7264
2021-08-05,8051
2021-08-06,10510
2021-08-07,10898
2021-08-08,9561
2021-08-09,8811
2021-08-10,8462
2021-08-11,11878
2021-08-12,12275
2021-08-13,13007
2021-08-14,14081
2021-08-15,14574
2021-08-16,14429
2021-08-17,9911
2021-08-18,10951
2021-08-19,14707
2021-08-20,17006
2021-08-21,16470
2021-08-22,15869
2021-08-23,18123
2021-08-24,11912
2021-08-25,13429
2021-08-26,16121
2021-08-27,17248
2021-08-28,19202
2021-08-29,18314
2021-08-30,22093
2021-08-31,13685
