Category: All categories

Day,manila quarantine: (Philippines),time pandemic: (Philippines),bureau quarantine: (Philippines),quarantine status: (Philippines),essay pandemic: (Philippines)
2020-03-10,0,0,0,0,0
2020-03-11,0,0,4,0,0
2020-03-12,54,4,6,0,0
2020-03-13,82,0,5,0,0
2020-03-14,100,0,0,0,0
2020-03-15,55,0,0,0,0
2020-03-16,83,0,7,0,0
2020-03-17,41,0,5,4,0
2020-03-18,28,0,0,0,0
2020-03-19,26,0,0,0,0
2020-03-20,29,0,0,0,0
2020-03-21,22,0,0,7,0
2020-03-22,24,0,0,0,0
2020-03-23,26,6,0,0,0
2020-03-24,23,0,0,0,0
2020-03-25,26,0,0,0,0
2020-03-26,25,0,0,0,0
2020-03-27,18,6,0,0,0
2020-03-28,17,0,0,0,0
2020-03-29,17,8,0,0,5
2020-03-30,20,0,0,0,0
2020-03-31,17,0,0,0,0
2020-04-01,13,0,0,0,0
2020-04-02,12,5,0,0,0
2020-04-03,13,0,0,0,0
2020-04-04,14,0,0,0,0
2020-04-05,16,0,0,0,0
2020-04-06,21,0,0,0,0
2020-04-07,13,0,0,0,0
2020-04-08,11,6,0,0,0
2020-04-09,10,7,0,0,0
2020-04-10,8,0,0,0,0
2020-04-11,5,0,0,0,0
2020-04-12,0,0,0,0,0
2020-04-13,7,0,0,0,0
2020-04-14,11,0,0,0,0
2020-04-15,9,0,0,0,0
2020-04-16,13,0,0,0,0
2020-04-17,6,0,0,0,0
2020-04-18,12,5,0,0,0
2020-04-19,7,0,0,0,0
2020-04-20,11,0,0,0,0
2020-04-21,10,0,0,0,0
2020-04-22,7,0,0,0,5
2020-04-23,12,7,0,0,0
2020-04-24,19,5,0,0,0
2020-04-25,7,5,0,0,0
2020-04-26,7,6,0,0,0
2020-04-27,7,5,0,5,0
2020-04-28,8,7,0,0,8
2020-04-29,6,0,0,0,0
2020-04-30,9,0,0,0,6
2020-05-01,10,5,0,0,0
2020-05-02,6,0,0,0,0
2020-05-03,5,5,0,0,0
2020-05-04,9,10,0,0,0
2020-05-05,5,7,0,0,4
2020-05-06,5,5,0,0,0
2020-05-07,10,6,0,0,0
2020-05-08,11,7,0,0,5
2020-05-09,13,5,0,0,7
2020-05-10,11,6,0,0,0
2020-05-11,12,7,0,0,5
2020-05-12,32,5,0,4,8
2020-05-13,15,9,0,0,6
2020-05-14,9,0,0,7,5
2020-05-15,12,7,4,5,0
2020-05-16,15,6,0,0,7
2020-05-17,11,0,0,0,6
2020-05-18,7,5,0,0,7
2020-05-19,6,7,0,0,0
2020-05-20,8,8,5,0,7
2020-05-21,5,8,5,0,5
2020-05-22,0,10,7,0,6
2020-05-23,5,0,0,0,4
2020-05-24,7,7,0,0,5
2020-05-25,6,7,0,0,4
2020-05-26,9,0,4,5,0
2020-05-27,11,5,6,0,9
2020-05-28,11,8,0,7,5
2020-05-29,11,7,7,7,7
2020-05-30,7,7,0,0,0
2020-05-31,11,0,0,0,0
2020-06-01,10,6,5,8,0
2020-06-02,8,0,9,0,5
2020-06-03,0,5,8,0,6
2020-06-04,7,0,6,0,4
2020-06-05,6,0,5,4,6
2020-06-06,0,0,5,0,5
2020-06-07,5,0,5,0,5
2020-06-08,6,5,6,0,6
2020-06-09,5,11,8,0,4
2020-06-10,7,6,8,0,5
2020-06-11,6,0,8,0,0
2020-06-12,7,5,4,0,0
2020-06-13,5,5,5,6,11
2020-06-14,8,0,0,6,0
2020-06-15,22,6,9,20,0
2020-06-16,9,5,8,5,0
2020-06-17,6,7,5,0,0
2020-06-18,5,0,11,0,0
2020-06-19,4,5,8,0,5
2020-06-20,6,6,0,0,0
2020-06-21,0,0,6,0,0
2020-06-22,4,0,7,0,0
2020-06-23,0,0,6,4,0
2020-06-24,6,0,5,0,0
2020-06-25,0,0,5,0,0
2020-06-26,0,7,5,0,0
2020-06-27,7,0,0,0,0
2020-06-28,7,5,0,0,0
2020-06-29,8,4,4,0,0
2020-06-30,16,0,6,24,0
2020-07-01,11,7,7,12,0
2020-07-02,6,9,7,6,0
2020-07-03,4,4,6,0,0
2020-07-04,0,0,7,0,0
2020-07-05,0,5,6,0,0
2020-07-06,0,5,10,0,0
2020-07-07,7,0,6,4,0
2020-07-08,5,0,7,0,0
2020-07-09,5,7,0,0,0
2020-07-10,4,6,5,0,0
2020-07-11,9,8,0,0,0
2020-07-12,0,6,5,0,0
2020-07-13,5,5,0,0,0
2020-07-14,5,6,6,0,0
2020-07-15,12,0,0,25,0
2020-07-16,11,7,7,16,0
2020-07-17,5,6,6,5,0
2020-07-18,0,0,7,0,0
2020-07-19,5,5,0,0,0
2020-07-20,5,0,6,0,0
2020-07-21,7,8,5,4,0
2020-07-22,6,5,5,6,0
