Category: All categories

Day,essay pandemic: (Philippines),quarantine certificate: (Philippines),pandemic essay: (Philippines)
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,45,42,45
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,0,0,0
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,0,0,0
2020-04-22,42,0,42
2020-04-23,0,0,0
2020-04-24,0,0,0
2020-04-25,0,0,0
2020-04-26,0,0,0
2020-04-27,0,0,0
2020-04-28,68,0,68
2020-04-29,0,0,0
2020-04-30,57,0,57
2020-05-01,0,0,0
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,0,0,0
2020-05-05,39,0,39
2020-05-06,0,0,0
2020-05-07,0,0,0
2020-05-08,46,0,46
2020-05-09,65,0,65
2020-05-10,0,0,0
2020-05-11,48,0,48
2020-05-12,69,0,69
2020-05-13,55,0,55
2020-05-14,45,0,45
2020-05-15,0,0,0
2020-05-16,58,0,58
2020-05-17,53,0,53
2020-05-18,63,0,63
2020-05-19,0,0,0
2020-05-20,66,0,66
2020-05-21,41,0,41
2020-05-22,57,0,57
2020-05-23,40,0,40
2020-05-24,46,0,46
2020-05-25,39,0,39
2020-05-26,0,0,0
2020-05-27,78,63,78
2020-05-28,46,92,46
2020-05-29,63,64,63
2020-05-30,0,0,0
2020-05-31,0,60,0
2020-06-01,0,0,0
2020-06-02,41,0,41
2020-06-03,50,0,50
2020-06-04,37,34,37
2020-06-05,51,45,51
2020-06-06,47,53,47
2020-06-07,47,0,47
2020-06-08,50,0,50
2020-06-09,40,37,40
2020-06-10,45,45,45
2020-06-11,0,45,0
2020-06-12,0,0,0
2020-06-13,100,0,100
2020-06-14,0,40,0
2020-06-15,0,40,0
2020-06-16,0,0,0
2020-06-17,0,45,0
2020-06-18,0,0,0
2020-06-19,47,52,47
2020-06-20,0,0,0
2020-06-21,0,0,0
2020-06-22,0,0,0
2020-06-23,0,47,0
2020-06-24,0,0,0
2020-06-25,0,0,0
2020-06-26,0,0,0
2020-06-27,0,0,0
2020-06-28,0,0,0
2020-06-29,0,42,0
2020-06-30,0,43,0
2020-07-01,0,39,0
2020-07-02,0,0,0
2020-07-03,0,0,0
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,0,52,0
2020-07-07,0,36,0
2020-07-08,0,0,0
2020-07-09,0,0,0
2020-07-10,0,58,0
2020-07-11,0,51,0
2020-07-12,0,0,0
2020-07-13,0,0,0
2020-07-14,0,0,0
2020-07-15,0,49,0
2020-07-16,0,47,0
2020-07-17,0,36,0
2020-07-18,0,64,0
2020-07-19,0,0,0
2020-07-20,0,0,0
2020-07-21,0,0,0
2020-07-22,0,0,0
