Category: All categories

Day,time pandemic: (Philippines),essay pandemic: (Philippines),pandemic essay: (Philippines),quarantine meaning: (Philippines),effect pandemic: (Philippines)
2020-07-23,14,0,0,13,0
2020-07-24,15,0,0,0,14
2020-07-25,16,0,0,0,0
2020-07-26,0,0,0,0,0
2020-07-27,0,0,0,0,0
2020-07-28,22,0,0,0,0
2020-07-29,14,0,0,0,0
2020-07-30,0,0,0,16,0
2020-07-31,19,0,0,24,0
2020-08-01,12,0,0,0,13
2020-08-02,16,0,0,85,0
2020-08-03,0,0,0,57,0
2020-08-04,21,0,0,28,0
2020-08-05,14,0,0,15,0
2020-08-06,15,0,0,15,0
2020-08-07,16,12,12,16,0
2020-08-08,0,0,0,13,0
2020-08-09,11,0,0,16,0
2020-08-10,15,0,0,0,0
2020-08-11,22,0,0,11,0
2020-08-12,12,0,0,0,0
2020-08-13,16,15,15,11,0
2020-08-14,13,0,0,0,0
2020-08-15,13,0,0,23,0
2020-08-16,21,0,0,12,0
2020-08-17,15,0,0,34,0
2020-08-18,20,12,12,31,0
2020-08-19,22,14,14,0,0
2020-08-20,22,0,0,16,0
2020-08-21,19,0,0,0,0
2020-08-22,15,11,11,0,0
2020-08-23,16,17,17,12,0
2020-08-24,24,16,16,12,0
2020-08-25,29,24,24,0,13
2020-08-26,32,28,28,11,0
2020-08-27,32,26,26,18,0
2020-08-28,26,32,32,0,13
2020-08-29,20,14,14,0,0
2020-08-30,22,14,14,0,0
2020-08-31,21,14,14,34,0
2020-09-01,21,24,24,19,10
2020-09-02,23,29,29,19,0
2020-09-03,38,26,26,10,10
2020-09-04,34,29,29,10,12
2020-09-05,20,14,14,11,15
2020-09-06,26,25,25,13,0
2020-09-07,31,26,26,17,12
2020-09-08,27,30,30,12,12
2020-09-09,30,40,40,12,12
2020-09-10,36,32,32,13,14
2020-09-11,39,25,25,10,13
2020-09-12,27,16,16,15,10
2020-09-13,26,22,22,0,14
2020-09-14,47,31,31,0,8
2020-09-15,31,28,28,15,12
2020-09-16,42,24,24,13,13
2020-09-17,32,39,39,8,14
2020-09-18,45,32,32,10,15
2020-09-19,29,27,27,13,16
2020-09-20,34,17,17,0,13
2020-09-21,31,23,23,11,17
2020-09-22,36,27,27,22,15
2020-09-23,43,33,33,10,14
2020-09-24,45,38,38,0,11
2020-09-25,29,25,25,0,15
2020-09-26,34,28,28,0,11
2020-09-27,26,22,22,17,17
2020-09-28,34,26,26,27,16
2020-09-29,41,34,34,28,22
2020-09-30,43,37,37,20,13
2020-10-01,43,30,30,28,23
2020-10-02,59,29,29,21,18
2020-10-03,45,38,38,14,15
2020-10-04,55,32,32,18,16
2020-10-05,68,56,56,34,22
2020-10-06,77,62,62,24,28
2020-10-07,74,68,68,33,18
2020-10-08,97,73,73,29,21
2020-10-09,72,58,58,22,19
2020-10-10,54,44,44,22,18
2020-10-11,56,41,41,14,22
2020-10-12,69,53,53,23,18
2020-10-13,78,47,47,27,19
2020-10-14,100,50,50,25,28
2020-10-15,85,53,53,28,28
2020-10-16,69,49,49,16,20
2020-10-17,63,36,36,18,13
2020-10-18,79,50,50,20,24
2020-10-19,63,32,32,17,24
2020-10-20,70,48,48,21,11
2020-10-21,66,50,50,14,27
2020-10-22,77,58,58,16,35
2020-10-23,54,31,31,14,24
2020-10-24,62,39,39,13,21
2020-10-25,61,36,36,0,17
2020-10-26,61,28,28,12,18
2020-10-27,70,33,33,20,19
2020-10-28,46,34,34,18,20
2020-10-29,81,48,48,20,25
2020-10-30,62,34,34,11,28
2020-10-31,49,14,14,0,17
2020-11-01,36,31,31,13,22
2020-11-02,56,27,27,14,19
2020-11-03,64,29,29,9,17
2020-11-04,67,30,30,14,25
2020-11-05,78,41,41,15,14
2020-11-06,53,33,33,9,10
2020-11-07,47,39,39,18,13
2020-11-08,62,34,34,11,19
2020-11-09,61,44,44,13,19
2020-11-10,62,36,36,13,22
2020-11-11,65,29,29,11,26
2020-11-12,64,38,38,0,18
2020-11-13,55,31,31,0,12
2020-11-14,39,23,23,12,17
2020-11-15,64,42,42,0,18
2020-11-16,48,25,25,9,18
2020-11-17,58,27,27,9,18
2020-11-18,64,38,38,14,20
2020-11-19,74,31,31,12,15
2020-11-20,52,30,30,17,15
2020-11-21,52,32,32,0,15
2020-11-22,59,24,24,0,17
2020-11-23,50,39,39,14,15
2020-11-24,57,42,42,16,10
2020-11-25,66,35,35,10,14
2020-11-26,71,45,45,20,16
2020-11-27,51,35,35,0,18
2020-11-28,47,25,25,13,13
2020-11-29,46,31,31,0,10
2020-11-30,78,32,32,25,19
2020-12-01,62,36,36,14,17
2020-12-02,57,45,45,12,23
2020-12-03,77,40,40,14,25
2020-12-04,53,32,32,14,20
