Category: All categories

Day,effect pandemic: (Philippines),home quarantine: (Philippines),quarantine pass: (Philippines),manila quarantine: (Philippines),quarantine tagalog: (Philippines)
2020-07-23,0,21,0,23,14
2020-07-24,19,19,0,15,0
2020-07-25,0,17,15,30,16
2020-07-26,0,0,0,25,0
2020-07-27,0,14,16,22,0
2020-07-28,0,22,0,25,0
2020-07-29,0,21,14,38,0
2020-07-30,0,20,0,47,0
2020-07-31,0,16,27,98,18
2020-08-01,17,19,17,27,0
2020-08-02,0,0,47,89,48
2020-08-03,0,20,98,71,36
2020-08-04,0,18,85,22,14
2020-08-05,0,16,68,0,0
2020-08-06,0,0,53,25,0
2020-08-07,0,18,52,0,18
2020-08-08,0,0,54,0,15
2020-08-09,0,0,32,0,0
2020-08-10,0,0,31,0,0
2020-08-11,0,13,28,0,0
2020-08-12,0,22,26,16,14
2020-08-13,0,20,0,19,0
2020-08-14,0,16,31,16,0
2020-08-15,0,20,42,28,0
2020-08-16,0,17,23,31,15
2020-08-17,0,21,26,100,19
2020-08-18,0,20,29,36,12
2020-08-19,0,19,43,29,0
2020-08-20,0,18,50,22,0
2020-08-21,0,16,64,14,0
2020-08-22,0,0,39,21,14
2020-08-23,0,15,39,0,14
2020-08-24,0,14,23,15,0
2020-08-25,17,15,18,0,0
2020-08-26,0,0,31,14,0
2020-08-27,0,0,19,19,13
2020-08-28,18,13,17,0,0
2020-08-29,0,16,35,0,0
2020-08-30,0,0,28,17,0
2020-08-31,0,0,29,39,19
2020-09-01,13,13,27,27,13
2020-09-02,0,13,27,21,0
2020-09-03,13,18,21,27,0
2020-09-04,17,11,27,16,0
2020-09-05,20,16,22,14,0
2020-09-06,0,0,21,15,0
2020-09-07,16,0,12,15,0
2020-09-08,16,18,14,20,12
2020-09-09,16,24,14,0,16
2020-09-10,19,17,0,0,12
2020-09-11,18,15,12,12,0
2020-09-12,13,0,18,0,0
2020-09-13,19,0,30,0,0
2020-09-14,11,16,12,12,0
2020-09-15,16,20,20,19,0
2020-09-16,17,14,16,11,13
2020-09-17,19,19,15,12,12
2020-09-18,20,0,17,16,20
2020-09-19,21,26,26,0,0
2020-09-20,17,17,19,16,0
2020-09-21,22,18,0,19,0
2020-09-22,20,0,13,18,16
2020-09-23,18,0,12,12,15
2020-09-24,15,0,16,14,14
2020-09-25,20,22,24,18,0
2020-09-26,14,18,20,14,0
2020-09-27,23,15,0,21,0
2020-09-28,22,24,14,23,19
2020-09-29,29,14,14,17,29
2020-09-30,17,16,0,17,27
2020-10-01,30,26,14,23,23
2020-10-02,24,19,0,24,22
2020-10-03,20,23,0,0,22
2020-10-04,21,0,20,18,22
2020-10-05,29,29,0,9,39
2020-10-06,37,35,20,0,48
2020-10-07,23,20,0,12,44
2020-10-08,28,33,14,15,39
2020-10-09,25,28,11,23,26
2020-10-10,24,15,14,14,19
2020-10-11,29,20,13,20,28
2020-10-12,24,26,10,0,29
2020-10-13,25,22,0,16,24
2020-10-14,38,15,0,0,21
2020-10-15,38,24,0,0,28
2020-10-16,27,16,11,17,22
2020-10-17,17,21,15,19,15
2020-10-18,32,25,15,15,0
2020-10-19,31,15,15,15,12
2020-10-20,15,22,12,19,16
2020-10-21,35,21,14,13,28
2020-10-22,46,21,0,0,26
2020-10-23,32,22,0,17,15
2020-10-24,27,19,19,0,0
2020-10-25,22,26,15,0,15
2020-10-26,23,24,0,16,16
2020-10-27,25,21,0,21,16
2020-10-28,27,15,0,14,16
2020-10-29,33,28,14,0,20
2020-10-30,37,20,0,17,18
2020-10-31,23,21,14,0,0
2020-11-01,29,16,0,18,19
2020-11-02,25,13,0,0,24
2020-11-03,23,26,0,0,17
2020-11-04,33,23,0,0,20
2020-11-05,19,22,0,0,23
2020-11-06,13,22,0,0,13
2020-11-07,18,17,0,16,15
2020-11-08,25,23,0,0,14
2020-11-09,25,18,0,0,24
2020-11-10,30,22,0,0,0
2020-11-11,35,15,0,0,0
2020-11-12,23,17,0,0,0
2020-11-13,15,14,14,0,0
2020-11-14,23,19,0,0,0
2020-11-15,24,19,0,0,0
2020-11-16,23,16,0,14,0
2020-11-17,23,13,0,0,15
2020-11-18,26,23,0,13,0
2020-11-19,20,22,0,13,16
2020-11-20,19,19,0,19,16
2020-11-21,20,0,0,0,0
2020-11-22,22,23,0,19,0
2020-11-23,20,23,0,22,12
2020-11-24,13,0,0,0,0
2020-11-25,18,17,0,12,0
2020-11-26,21,0,0,11,0
2020-11-27,24,0,0,0,0
2020-11-28,17,15,0,0,0
2020-11-29,14,18,0,0,0
2020-11-30,25,14,0,27,16
2020-12-01,23,0,0,15,12
2020-12-02,31,24,0,0,19
2020-12-03,34,19,0,13,12
2020-12-04,27,13,0,22,0
