Category: All categories

Day,quarantine tagalog: (Philippines),quarantine status: (Philippines),bureau quarantine: (Philippines),quarantine certificate: (Philippines)
2020-07-23,12,21,25,0
2020-07-24,0,0,18,0
2020-07-25,14,0,18,0
2020-07-26,0,0,16,17
2020-07-27,0,0,16,19
2020-07-28,0,13,13,24
2020-07-29,0,0,12,14
2020-07-30,0,48,17,0
2020-07-31,16,100,0,0
2020-08-01,0,23,0,14
2020-08-02,42,66,14,14
2020-08-03,32,46,23,17
2020-08-04,13,19,18,13
2020-08-05,0,12,13,0
2020-08-06,0,0,16,0
2020-08-07,16,0,18,0
2020-08-08,13,0,0,0
2020-08-09,0,0,0,0
2020-08-10,0,0,15,0
2020-08-11,0,0,17,0
2020-08-12,12,0,13,0
2020-08-13,0,0,0,0
2020-08-14,0,0,0,0
2020-08-15,0,22,0,0
2020-08-16,13,31,0,0
2020-08-17,16,91,17,0
2020-08-18,11,37,11,0
2020-08-19,0,12,12,0
2020-08-20,0,0,20,0
2020-08-21,0,0,0,0
2020-08-22,12,0,0,0
2020-08-23,12,0,0,0
2020-08-24,0,0,17,0
2020-08-25,0,0,13,0
2020-08-26,0,0,11,0
2020-08-27,11,0,0,10
2020-08-28,0,0,18,0
2020-08-29,0,0,0,0
2020-08-30,0,0,13,0
2020-08-31,16,70,15,0
2020-09-01,12,64,11,0
2020-09-02,0,16,0,0
2020-09-03,0,0,0,13
2020-09-04,0,0,0,0
2020-09-05,0,0,0,0
2020-09-06,0,0,0,0
2020-09-07,0,11,14,0
2020-09-08,10,0,0,0
2020-09-09,14,0,0,0
2020-09-10,10,0,0,0
2020-09-11,0,0,0,0
2020-09-12,0,13,0,0
2020-09-13,0,0,0,0
2020-09-14,0,0,11,0
2020-09-15,0,10,12,0
2020-09-16,11,0,10,0
2020-09-17,10,11,0,0
2020-09-18,18,29,0,0
2020-09-19,0,0,0,0
2020-09-20,0,0,0,0
2020-09-21,0,0,0,0
2020-09-22,14,0,0,0
2020-09-23,13,0,0,0
2020-09-24,12,9,10,0
2020-09-25,0,0,0,0
2020-09-26,0,0,0,0
2020-09-27,0,17,0,0
2020-09-28,17,20,0,0
2020-09-29,26,22,0,0
2020-09-30,24,16,13,0
2020-10-01,20,10,0,0
2020-10-02,20,17,0,0
2020-10-03,19,13,0,0
2020-10-04,19,17,0,0
2020-10-05,34,14,10,0
2020-10-06,42,0,0,0
2020-10-07,39,0,0,0
2020-10-08,34,0,0,0
2020-10-09,23,0,10,0
2020-10-10,16,0,0,0
2020-10-11,25,0,0,17
2020-10-12,26,9,0,0
2020-10-13,21,0,9,0
2020-10-14,19,9,0,0
2020-10-15,25,0,0,0
2020-10-16,19,10,0,0
2020-10-17,13,0,0,0
2020-10-18,0,0,0,0
2020-10-19,11,0,24,17
2020-10-20,14,0,20,35
2020-10-21,24,0,21,25
2020-10-22,22,0,18,30
2020-10-23,13,0,18,26
2020-10-24,0,0,27,53
2020-10-25,13,0,32,42
2020-10-26,14,15,0,31
2020-10-27,14,23,12,14
2020-10-28,14,0,0,26
2020-10-29,18,13,11,17
2020-10-30,16,0,17,19
2020-10-31,0,0,0,0
2020-11-01,17,0,0,17
2020-11-02,21,0,0,13
2020-11-03,15,0,16,18
2020-11-04,18,0,10,16
2020-11-05,20,0,11,0
2020-11-06,11,0,0,0
2020-11-07,13,0,0,0
2020-11-08,12,0,0,0
2020-11-09,21,0,12,0
2020-11-10,0,0,9,0
2020-11-11,0,0,10,0
2020-11-12,0,0,0,0
2020-11-13,0,0,0,0
2020-11-14,0,0,0,0
2020-11-15,0,18,0,13
2020-11-16,0,10,12,0
2020-11-17,13,0,11,0
2020-11-18,0,0,10,0
2020-11-19,14,0,19,0
2020-11-20,14,12,0,0
2020-11-21,0,0,0,0
2020-11-22,0,0,0,0
2020-11-23,10,0,0,0
2020-11-24,0,0,0,0
2020-11-25,0,0,12,0
2020-11-26,0,0,10,0
2020-11-27,0,0,0,0
2020-11-28,0,0,0,0
2020-11-29,0,0,0,0
2020-11-30,14,24,0,0
2020-12-01,10,13,18,0
2020-12-02,16,0,10,0
2020-12-03,11,0,0,0
2020-12-04,0,18,17,0
