Category: All categories

Day,time pandemic: (Philippines),bakuna: (Philippines),pandemic essay: (Philippines),bureau quarantine: (Philippines),home quarantine: (Philippines)
2021-09-01,30,50,18,46,14
2021-09-02,26,51,14,33,0
2021-09-03,25,44,18,44,10
2021-09-04,26,34,19,37,0
2021-09-05,33,34,0,33,0
2021-09-06,27,45,18,39,9
2021-09-07,29,38,23,36,13
2021-09-08,33,40,24,40,0
2021-09-09,41,47,31,28,13
2021-09-10,33,39,23,44,10
2021-09-11,32,24,16,23,0
2021-09-12,37,28,28,26,12
2021-09-13,63,34,25,33,15
2021-09-14,71,40,31,29,15
2021-09-15,77,45,48,28,16
2021-09-16,69,42,49,27,14
2021-09-17,79,50,47,36,14
2021-09-18,64,38,40,27,15
2021-09-19,87,26,44,19,12
2021-09-20,85,38,47,26,21
2021-09-21,87,44,46,27,20
2021-09-22,96,51,48,36,14
2021-09-23,100,44,55,29,20
2021-09-24,94,71,51,32,13
2021-09-25,84,52,45,19,0
2021-09-26,99,46,58,16,15
2021-09-27,69,41,44,31,19
2021-09-28,85,46,48,29,14
2021-09-29,89,46,42,34,14
2021-09-30,92,47,59,36,20
2021-10-01,87,42,48,22,0
2021-10-02,70,36,43,21,0
2021-10-03,76,31,45,14,15
2021-10-04,78,34,44,33,18
2021-10-05,87,50,49,37,15
2021-10-06,95,48,55,24,17
2021-10-07,100,46,53,27,19
2021-10-08,84,44,55,38,15
2021-10-09,81,33,52,31,13
2021-10-10,91,35,50,17,14
2021-10-11,84,30,46,50,14
2021-10-12,96,54,46,31,21
2021-10-13,85,72,41,41,17
2021-10-14,90,67,59,52,16
2021-10-15,85,39,44,36,16
2021-10-16,75,31,43,26,13
2021-10-17,85,39,49,21,18
2021-10-18,85,43,54,36,12
2021-10-19,83,43,48,38,19
2021-10-20,90,44,53,28,22
2021-10-21,91,43,52,43,15
2021-10-22,83,44,41,38,12
2021-10-23,76,38,44,25,11
2021-10-24,91,29,35,26,14
2021-10-25,95,48,58,40,8
2021-10-26,87,45,47,43,16
2021-10-27,87,45,44,32,15
2021-10-28,93,53,49,33,18
2021-10-29,88,57,35,39,12
2021-10-30,72,33,34,16,10
2021-10-31,69,28,38,19,0
2021-11-01,60,33,28,20,11
2021-11-02,85,60,41,34,15
2021-11-03,87,61,38,43,15
2021-11-04,79,52,43,40,18
2021-11-05,74,56,32,46,13
2021-11-06,65,45,35,32,15
2021-11-07,87,39,47,31,16
2021-11-08,62,50,44,43,16
2021-11-09,70,55,39,41,11
2021-11-10,72,59,46,36,10
2021-11-11,77,49,49,36,10
2021-11-12,55,51,42,39,8
2021-11-13,56,37,41,20,9
2021-11-14,66,77,35,22,14
2021-11-15,57,50,36,46,10
2021-11-16,55,53,34,35,0
2021-11-17,70,55,49,56,9
2021-11-18,73,50,40,46,0
2021-11-19,65,55,43,46,9
2021-11-20,50,42,23,21,0
2021-11-21,62,33,36,27,16
2021-11-22,60,46,41,35,12
2021-11-23,64,45,43,38,8
2021-11-24,80,50,41,38,0
2021-11-25,69,53,45,34,0
2021-11-26,57,46,31,27,0
2021-11-27,44,44,35,18,0
2021-11-28,60,61,39,27,12
2021-11-29,68,72,34,41,11
2021-11-30,63,77,39,26,0
2021-12-01,72,47,41,42,9
2021-12-02,81,62,48,31,11
2021-12-03,59,47,42,35,11
2021-12-04,62,29,34,27,11
2021-12-05,74,30,36,20,16
2021-12-06,78,38,35,32,11
2021-12-07,61,31,43,34,0
2021-12-08,82,30,53,25,0
2021-12-09,87,40,50,30,8
2021-12-10,65,44,44,28,0
2021-12-11,59,41,35,16,0
2021-12-12,72,30,48,17,0
2021-12-13,61,47,39,26,9
2021-12-14,58,32,44,26,11
2021-12-15,56,42,43,28,0
2021-12-16,44,35,27,37,0
2021-12-17,41,23,30,30,0
2021-12-18,29,22,17,21,0
2021-12-19,35,26,16,17,0
2021-12-20,23,31,19,33,0
2021-12-21,24,34,20,38,0
2021-12-22,19,37,0,25,0
2021-12-23,12,25,12,22,0
2021-12-24,0,17,0,13,0
2021-12-25,0,0,0,0,0
2021-12-26,13,23,0,13,0
2021-12-27,0,28,12,30,0
2021-12-28,15,31,11,33,0
2021-12-29,20,30,11,34,0
2021-12-30,0,21,0,17,0
2021-12-31,13,0,0,0,13
2022-01-01,17,12,15,19,0
2022-01-02,40,25,21,18,0
2022-01-03,45,45,30,42,13
2022-01-04,35,53,26,22,18
2022-01-05,42,60,29,36,12
2022-01-06,49,71,30,27,15
2022-01-07,39,60,28,34,19
2022-01-08,35,50,31,21,19
2022-01-09,58,50,30,18,16
2022-01-10,44,58,30,35,21
2022-01-11,52,56,36,33,17
2022-01-12,49,61,34,31,15
2022-01-13,54,63,37,33,17
