Category: All categories

Day,quarantine status: (Philippines),home quarantine: (Philippines),quarantine hotel: (Philippines),quarantine meaning: (Philippines),ofw quarantine: (Philippines)
2021-09-01,32,17,0,11,11
2021-09-02,39,0,16,10,13
2021-09-03,35,12,0,0,0
2021-09-04,35,0,19,0,0
2021-09-05,59,0,15,0,0
2021-09-06,100,11,19,26,0
2021-09-07,94,16,16,14,0
2021-09-08,49,0,13,0,0
2021-09-09,20,15,17,0,0
2021-09-10,20,12,20,0,14
2021-09-11,18,0,13,0,0
2021-09-12,29,14,13,0,0
2021-09-13,30,17,12,21,0
2021-09-14,42,18,12,16,0
2021-09-15,32,19,12,20,0
2021-09-16,38,17,14,21,0
2021-09-17,36,17,10,22,0
2021-09-18,30,18,0,24,0
2021-09-19,18,15,0,0,0
2021-09-20,19,25,0,10,9
2021-09-21,18,23,13,19,0
2021-09-22,12,17,0,17,0
2021-09-23,13,24,10,23,0
2021-09-24,9,16,14,24,0
2021-09-25,11,0,15,11,0
2021-09-26,21,18,0,0,0
2021-09-27,14,23,11,11,0
2021-09-28,24,17,13,11,0
2021-09-29,31,16,9,18,0
2021-09-30,94,24,12,0,10
2021-10-01,54,0,12,12,0
2021-10-02,19,0,12,13,12
2021-10-03,22,18,17,17,0
2021-10-04,17,22,13,0,0
2021-10-05,14,18,14,14,10
2021-10-06,15,20,14,13,0
2021-10-07,17,22,10,10,0
2021-10-08,21,18,0,16,16
2021-10-09,15,15,22,0,11
2021-10-10,16,17,14,0,12
2021-10-11,17,17,15,16,0
2021-10-12,10,25,10,0,0
2021-10-13,22,20,0,13,17
2021-10-14,29,19,9,16,14
2021-10-15,18,19,13,13,0
2021-10-16,22,16,0,0,0
2021-10-17,25,22,0,14,15
2021-10-18,12,14,9,0,0
2021-10-19,23,22,14,11,0
2021-10-20,18,26,12,14,0
2021-10-21,14,18,12,9,9
2021-10-22,0,14,10,10,14
2021-10-23,14,14,0,0,0
2021-10-24,0,17,11,0,0
2021-10-25,15,9,16,0,0
2021-10-26,10,19,9,0,0
2021-10-27,11,18,10,9,9
2021-10-28,0,22,15,16,0
2021-10-29,14,15,11,9,12
2021-10-30,0,12,0,0,12
2021-10-31,0,0,0,0,0
2021-11-01,20,13,14,0,0
2021-11-02,11,17,15,13,11
2021-11-03,13,17,9,14,15
2021-11-04,9,22,10,13,16
2021-11-05,19,15,10,10,0
2021-11-06,0,18,20,12,0
2021-11-07,0,19,16,0,0
2021-11-08,0,19,0,16,0
2021-11-09,9,13,15,14,12
2021-11-10,0,12,11,12,12
2021-11-11,0,12,9,14,0
2021-11-12,11,9,10,10,10
2021-11-13,0,11,0,0,15
2021-11-14,0,16,0,11,0
2021-11-15,0,12,12,13,13
2021-11-16,0,0,8,14,0
2021-11-17,0,11,9,11,18
2021-11-18,9,0,10,9,13
2021-11-19,0,11,13,12,15
2021-11-20,0,0,0,0,19
2021-11-21,0,19,16,0,12
2021-11-22,0,14,16,10,0
2021-11-23,0,10,18,0,0
2021-11-24,0,0,9,0,0
2021-11-25,0,0,11,11,9
2021-11-26,0,0,0,10,11
2021-11-27,0,0,0,0,0
2021-11-28,0,15,0,0,14
2021-11-29,9,13,0,10,15
2021-11-30,0,0,22,0,0
2021-12-01,0,11,0,11,0
2021-12-02,10,13,10,0,12
2021-12-03,0,14,12,0,15
2021-12-04,0,13,0,0,12
2021-12-05,0,19,15,0,18
2021-12-06,0,13,10,10,0
2021-12-07,0,0,15,0,11
2021-12-08,0,0,0,0,0
2021-12-09,0,9,15,10,12
2021-12-10,0,0,14,0,0
2021-12-11,0,0,15,0,13
2021-12-12,0,0,11,0,0
2021-12-13,0,11,15,11,13
2021-12-14,0,14,0,0,14
2021-12-15,0,0,14,0,15
2021-12-16,0,0,18,0,0
2021-12-17,0,0,15,0,0
2021-12-18,0,0,16,0,0
2021-12-19,0,0,0,0,18
2021-12-20,0,0,0,0,0
2021-12-21,0,0,23,0,0
2021-12-22,0,0,0,0,0
2021-12-23,0,0,13,0,15
2021-12-24,0,0,0,0,0
2021-12-25,0,0,0,19,0
2021-12-26,0,0,0,0,0
2021-12-27,0,0,0,0,0
2021-12-28,0,0,0,0,0
2021-12-29,0,0,14,0,0
2021-12-30,0,0,43,0,0
2021-12-31,15,16,28,0,0
2022-01-01,0,0,14,0,0
2022-01-02,13,0,15,0,13
2022-01-03,0,16,22,17,14
2022-01-04,17,21,32,0,0
2022-01-05,0,14,28,20,24
2022-01-06,0,18,23,29,0
2022-01-07,0,22,25,22,10
2022-01-08,0,23,16,16,10
2022-01-09,16,19,22,0,0
2022-01-10,0,25,19,13,0
2022-01-11,9,20,12,14,0
2022-01-12,11,18,14,17,10
2022-01-13,0,20,19,11,0
