Category: All categories

Day,ofw quarantine: (Philippines),quarantine tagalog: (Philippines),quarantine certificate: (Philippines)
2021-09-01,44,0,43
2021-09-02,52,0,0
2021-09-03,0,0,54
2021-09-04,0,0,60
2021-09-05,0,0,0
2021-09-06,0,0,0
2021-09-07,0,0,0
2021-09-08,0,0,0
2021-09-09,0,0,65
2021-09-10,58,0,0
2021-09-11,0,0,0
2021-09-12,0,0,0
2021-09-13,0,66,46
2021-09-14,0,78,45
2021-09-15,0,74,0
2021-09-16,0,58,42
2021-09-17,0,61,52
2021-09-18,0,75,0
2021-09-19,0,58,0
2021-09-20,38,60,37
2021-09-21,0,74,0
2021-09-22,0,81,45
2021-09-23,0,0,40
2021-09-24,0,57,56
2021-09-25,0,0,0
2021-09-26,0,0,0
2021-09-27,0,50,0
2021-09-28,0,50,45
2021-09-29,0,49,0
2021-09-30,42,0,0
2021-10-01,0,0,41
2021-10-02,49,0,0
2021-10-03,0,0,0
2021-10-04,0,0,0
2021-10-05,43,43,36
2021-10-06,0,45,0
2021-10-07,0,38,0
2021-10-08,66,46,46
2021-10-09,45,44,45
2021-10-10,49,0,0
2021-10-11,0,36,53
2021-10-12,0,48,0
2021-10-13,70,0,49
2021-10-14,59,48,0
2021-10-15,0,53,39
2021-10-16,0,0,0
2021-10-17,62,0,0
2021-10-18,0,0,49
2021-10-19,0,36,41
2021-10-20,0,0,0
2021-10-21,35,0,0
2021-10-22,58,0,0
2021-10-23,0,44,0
2021-10-24,0,0,0
2021-10-25,0,0,0
2021-10-26,0,0,37
2021-10-27,36,0,0
2021-10-28,0,48,0
2021-10-29,51,0,0
2021-10-30,48,80,0
2021-10-31,0,0,0
2021-11-01,0,0,0
2021-11-02,47,0,0
2021-11-03,60,0,44
2021-11-04,66,0,36
2021-11-05,0,0,56
2021-11-06,0,0,0
2021-11-07,0,0,54
2021-11-08,0,43,0
2021-11-09,49,58,0
2021-11-10,48,0,0
2021-11-11,0,0,42
2021-11-12,43,0,0
2021-11-13,62,0,0
2021-11-14,0,0,0
2021-11-15,54,0,0
2021-11-16,0,0,0
2021-11-17,75,0,53
2021-11-18,55,0,0
2021-11-19,60,0,45
2021-11-20,77,0,0
2021-11-21,48,0,0
2021-11-22,0,0,0
2021-11-23,0,0,41
2021-11-24,0,0,0
2021-11-25,39,0,0
2021-11-26,44,0,0
2021-11-27,0,0,0
2021-11-28,59,0,0
2021-11-29,61,57,0
2021-11-30,0,0,48
2021-12-01,0,0,0
2021-12-02,51,38,0
2021-12-03,62,42,0
2021-12-04,50,0,0
2021-12-05,73,0,0
2021-12-06,0,0,0
2021-12-07,45,0,0
2021-12-08,0,0,0
2021-12-09,51,0,0
2021-12-10,0,0,0
2021-12-11,53,0,0
2021-12-12,0,48,0
2021-12-13,53,0,0
2021-12-14,57,0,0
2021-12-15,61,0,0
2021-12-16,0,0,0
2021-12-17,0,0,54
2021-12-18,0,0,0
2021-12-19,76,0,0
2021-12-20,0,0,0
2021-12-21,0,0,0
2021-12-22,0,0,0
2021-12-23,61,0,0
2021-12-24,0,0,0
2021-12-25,0,0,0
2021-12-26,0,0,0
2021-12-27,0,0,0
2021-12-28,0,0,0
2021-12-29,0,0,0
2021-12-30,0,0,0
2021-12-31,0,0,0
2022-01-01,0,0,0
2022-01-02,52,0,0
2022-01-03,57,0,0
2022-01-04,0,0,0
2022-01-05,100,41,41
2022-01-06,0,70,45
2022-01-07,40,49,0
2022-01-08,42,0,0
2022-01-09,0,0,60
2022-01-10,0,39,0
2022-01-11,0,0,0
2022-01-12,40,0,0
2022-01-13,0,0,0
