Category: All categories

Day,time pandemic: (Philippines),pandemic essay: (Philippines),bakuna: (Philippines),bureau quarantine: (Philippines),home quarantine: (Philippines)
2022-01-13,54,38,63,33,17
2022-01-14,42,31,63,25,11
2022-01-15,44,37,40,25,12
2022-01-16,45,31,48,17,14
2022-01-17,44,28,63,25,11
2022-01-18,38,31,47,35,18
2022-01-19,36,24,42,27,12
2022-01-20,45,28,49,31,16
2022-01-21,41,28,43,31,14
2022-01-22,37,25,32,12,14
2022-01-23,53,38,29,21,9
2022-01-24,63,35,36,35,9
2022-01-25,55,40,37,33,0
2022-01-26,56,29,33,31,7
2022-01-27,45,35,34,30,8
2022-01-28,42,30,41,26,8
2022-01-29,28,18,26,21,11
2022-01-30,35,22,29,18,9
2022-01-31,38,27,27,24,7
2022-02-01,39,26,28,26,0
2022-02-02,38,23,29,34,8
2022-02-03,45,30,36,24,8
2022-02-04,35,22,27,26,0
2022-02-05,30,28,36,17,0
2022-02-06,49,25,31,15,0
2022-02-07,54,30,32,25,0
2022-02-08,59,36,36,27,5
2022-02-09,76,47,35,34,8
2022-02-10,50,33,33,28,0
2022-02-11,50,34,39,28,0
2022-02-12,57,37,25,20,0
2022-02-13,67,42,29,16,10
2022-02-14,60,36,26,40,6
2022-02-15,81,54,43,28,7
2022-02-16,85,60,48,24,5
2022-02-17,76,58,42,26,9
2022-02-18,83,58,48,30,9
2022-02-19,74,53,34,10,6
2022-02-20,93,59,38,13,12
2022-02-21,73,59,29,24,10
2022-02-22,78,49,39,30,11
2022-02-23,82,60,31,28,8
2022-02-24,73,47,35,24,5
2022-02-25,73,46,34,26,6
2022-02-26,75,49,22,15,7
2022-02-27,100,60,33,17,12
2022-02-28,77,51,31,30,5
2022-03-01,87,50,37,27,0
2022-03-02,79,48,36,27,9
2022-03-03,79,47,30,25,9
2022-03-04,72,46,28,27,6
2022-03-05,79,49,31,20,0
2022-03-06,80,51,33,19,5
2022-03-07,76,55,32,25,5
2022-03-08,81,53,40,17,5
2022-03-09,84,55,36,23,7
2022-03-10,83,54,40,25,5
2022-03-11,70,44,26,25,6
2022-03-12,67,47,32,9,8
2022-03-13,82,55,27,17,9
2022-03-14,74,49,30,26,7
2022-03-15,75,50,34,20,4
2022-03-16,74,48,28,26,7
2022-03-17,77,50,28,22,6
2022-03-18,68,44,32,17,6
2022-03-19,67,49,28,15,6
2022-03-20,67,52,30,18,7
2022-03-21,64,46,25,21,5
2022-03-22,70,45,33,23,7
2022-03-23,62,47,26,26,5
2022-03-24,65,48,30,23,0
2022-03-25,57,35,30,21,0
2022-03-26,57,33,29,17,0
2022-03-27,58,39,35,16,7
2022-03-28,51,46,25,23,0
2022-03-29,54,33,26,20,5
2022-03-30,69,48,29,29,6
2022-03-31,60,43,23,20,4
2022-04-01,57,41,29,18,4
2022-04-02,55,39,24,18,6
2022-04-03,56,38,31,13,5
2022-04-04,53,40,23,24,4
2022-04-05,54,41,28,18,0
2022-04-06,53,33,24,33,0
2022-04-07,62,45,28,43,4
2022-04-08,47,39,28,22,0
2022-04-09,51,35,20,11,0
2022-04-10,58,45,22,13,0
2022-04-11,45,27,23,23,0
2022-04-12,44,23,15,23,0
2022-04-13,31,24,24,19,0
2022-04-14,31,17,18,14,0
2022-04-15,37,20,15,10,0
2022-04-16,42,19,12,8,0
2022-04-17,45,30,14,11,0
2022-04-18,50,33,18,20,5
2022-04-19,49,37,22,19,0
2022-04-20,52,44,20,26,6
2022-04-21,57,36,21,22,0
2022-04-22,50,28,15,23,5
2022-04-23,55,36,15,13,5
2022-04-24,58,40,12,15,0
2022-04-25,59,37,18,23,0
2022-04-26,49,34,20,25,0
2022-04-27,48,31,19,21,5
2022-04-28,60,37,15,24,0
2022-04-29,40,26,16,14,0
2022-04-30,46,28,19,10,0
2022-05-01,36,26,13,14,0
2022-05-02,37,27,16,19,0
2022-05-03,44,22,7,22,0
2022-05-04,37,25,14,27,0
2022-05-05,28,23,15,27,6
2022-05-06,28,16,14,19,0
2022-05-07,34,20,8,11,0
2022-05-08,22,9,0,9,0
2022-05-09,22,11,7,7,0
2022-05-10,28,22,11,21,5
2022-05-11,45,24,14,19,6
2022-05-12,37,26,15,26,0
2022-05-13,34,16,9,21,6
2022-05-14,35,24,0,12,0
2022-05-15,49,34,16,14,0
2022-05-16,48,29,18,22,0
2022-05-17,51,31,19,26,0
2022-05-18,48,34,13,23,6
2022-05-19,50,33,25,25,0
2022-05-20,37,25,16,15,0
2022-05-21,39,23,18,13,0
2022-05-22,51,27,13,14,7
2022-05-23,60,44,13,22,6
2022-05-24,50,30,19,24,0
2022-05-25,43,28,13,23,5
2022-05-26,52,33,19,20,0
2022-05-27,42,27,15,12,0
2022-05-28,40,20,13,14,0
