Category: All categories

Day,home quarantine: (Philippines),quarantine meaning: (Philippines),quarantine hotel: (Philippines),quarantine certificate: (Philippines),ofw quarantine: (Philippines)
2022-01-13,96,54,88,0,0
2022-01-14,62,58,100,0,0
2022-01-15,65,0,92,0,55
2022-01-16,80,70,78,0,0
2022-01-17,61,50,63,0,47
2022-01-18,100,42,76,0,0
2022-01-19,65,48,81,0,0
2022-01-20,90,0,68,40,39
2022-01-21,79,48,52,0,0
2022-01-22,76,0,60,0,0
2022-01-23,53,53,63,0,0
2022-01-24,48,50,52,60,44
2022-01-25,0,0,51,38,33
2022-01-26,39,35,63,0,0
2022-01-27,45,42,45,65,38
2022-01-28,45,0,43,40,70
2022-01-29,61,0,56,0,62
2022-01-30,49,0,0,0,0
2022-01-31,39,43,0,0,0
2022-02-01,0,43,42,0,54
2022-02-02,45,0,36,37,0
2022-02-03,42,0,0,0,0
2022-02-04,0,0,0,0,0
2022-02-05,0,0,0,0,0
2022-02-06,0,46,0,0,0
2022-02-07,0,38,0,0,0
2022-02-08,29,0,36,0,0
2022-02-09,46,39,0,0,0
2022-02-10,0,0,0,0,0
2022-02-11,0,0,0,0,0
2022-02-12,0,0,0,0,0
2022-02-13,58,42,0,0,0
2022-02-14,32,0,27,0,0
2022-02-15,36,35,25,0,0
2022-02-16,29,0,0,0,0
2022-02-17,51,40,0,29,0
2022-02-18,47,35,0,0,26
2022-02-19,32,37,0,0,0
2022-02-20,68,38,0,0,0
2022-02-21,54,52,0,0,0
2022-02-22,60,31,25,0,0
2022-02-23,44,0,0,0,0
2022-02-24,29,34,0,0,0
2022-02-25,36,37,0,0,0
2022-02-26,40,36,0,0,0
2022-02-27,66,34,0,0,0
2022-02-28,27,0,0,28,0
2022-03-01,0,44,0,0,0
2022-03-02,52,33,0,0,0
2022-03-03,52,40,0,0,0
2022-03-04,31,38,0,0,0
2022-03-05,0,0,0,0,0
2022-03-06,30,0,37,0,0
2022-03-07,29,0,0,24,27
2022-03-08,27,0,0,0,0
2022-03-09,41,27,0,0,0
2022-03-10,26,33,28,29,0
2022-03-11,32,0,0,0,0
2022-03-12,44,31,0,0,0
2022-03-13,51,0,0,0,0
2022-03-14,37,29,43,24,0
2022-03-15,25,32,0,0,0
2022-03-16,39,49,0,0,0
2022-03-17,36,0,0,0,24
2022-03-18,32,0,0,0,0
2022-03-19,33,0,0,0,0
2022-03-20,37,0,0,0,0
2022-03-21,25,0,31,0,0
2022-03-22,40,52,28,28,0
2022-03-23,27,0,0,0,0
2022-03-24,0,37,0,0,0
2022-03-25,0,28,0,0,0
2022-03-26,0,0,0,0,0
2022-03-27,41,0,0,0,0
2022-03-28,0,28,0,30,0
2022-03-29,30,38,0,0,0
2022-03-30,32,23,0,34,0
2022-03-31,24,24,0,0,0
2022-04-01,25,37,0,0,0
2022-04-02,32,0,0,0,0
2022-04-03,30,0,0,0,0
2022-04-04,24,0,0,28,0
2022-04-05,0,0,0,0,0
2022-04-06,0,0,0,0,0
2022-04-07,25,24,0,0,0
2022-04-08,0,0,0,0,0
2022-04-09,0,27,0,0,0
2022-04-10,0,0,0,0,0
2022-04-11,0,32,0,0,0
2022-04-12,0,0,0,0,0
2022-04-13,0,0,0,0,0
2022-04-14,0,0,0,0,0
2022-04-15,0,0,0,0,0
2022-04-16,0,0,0,0,0
2022-04-17,0,0,0,0,0
2022-04-18,28,0,0,0,0
2022-04-19,0,0,0,0,0
2022-04-20,34,29,0,27,0
2022-04-21,0,28,0,0,0
2022-04-22,28,41,0,0,0
2022-04-23,28,0,0,0,0
2022-04-24,0,0,0,0,0
2022-04-25,0,0,0,0,0
2022-04-26,0,0,0,0,0
2022-04-27,30,27,28,0,0
2022-04-28,0,0,0,0,0
2022-04-29,0,31,0,0,0
2022-04-30,0,0,0,0,0
2022-05-01,0,0,0,0,0
2022-05-02,0,29,0,0,0
2022-05-03,0,0,0,0,0
2022-05-04,0,0,0,0,0
2022-05-05,35,26,0,0,0
2022-05-06,0,0,0,0,0
2022-05-07,0,0,0,32,0
2022-05-08,0,0,0,0,0
2022-05-09,0,0,0,0,0
2022-05-10,28,0,0,25,0
2022-05-11,35,0,0,0,0
2022-05-12,0,0,0,38,0
2022-05-13,33,0,0,0,0
2022-05-14,0,34,0,0,0
2022-05-15,0,39,0,0,0
2022-05-16,0,0,0,0,0
2022-05-17,0,50,0,0,0
2022-05-18,33,38,0,0,0
2022-05-19,0,35,0,0,0
2022-05-20,0,0,0,0,0
2022-05-21,0,39,0,0,0
2022-05-22,37,0,0,0,0
2022-05-23,32,0,0,0,0
2022-05-24,0,36,0,0,0
2022-05-25,28,0,0,0,0
2022-05-26,0,35,0,0,0
2022-05-27,0,0,0,0,0
2022-05-28,0,0,0,0,0
