Category: All categories

Day,ofw quarantine: (Philippines),quarantine tagalog: (Philippines)
2022-01-13,0,0
2022-01-14,0,0
2022-01-15,78,0
2022-01-16,0,0
2022-01-17,67,0
2022-01-18,0,0
2022-01-19,0,0
2022-01-20,56,0
2022-01-21,0,0
2022-01-22,0,61
2022-01-23,0,0
2022-01-24,62,54
2022-01-25,47,0
2022-01-26,0,48
2022-01-27,54,55
2022-01-28,100,0
2022-01-29,88,0
2022-01-30,0,0
2022-01-31,0,0
2022-02-01,77,0
2022-02-02,0,0
2022-02-03,0,67
2022-02-04,0,0
2022-02-05,0,0
2022-02-06,0,0
2022-02-07,0,0
2022-02-08,0,0
2022-02-09,0,0
2022-02-10,0,0
2022-02-11,0,0
2022-02-12,0,0
2022-02-13,0,0
2022-02-14,0,38
2022-02-15,0,0
2022-02-16,0,0
2022-02-17,0,0
2022-02-18,37,52
2022-02-19,0,54
2022-02-20,0,0
2022-02-21,0,36
2022-02-22,0,43
2022-02-23,0,49
2022-02-24,0,40
2022-02-25,0,0
2022-02-26,0,44
2022-02-27,0,58
2022-02-28,0,0
2022-03-01,0,55
2022-03-02,0,0
2022-03-03,0,0
2022-03-04,0,0
2022-03-05,0,0
2022-03-06,0,0
2022-03-07,38,39
2022-03-08,0,0
2022-03-09,0,62
2022-03-10,0,0
2022-03-11,0,42
2022-03-12,0,0
2022-03-13,0,0
2022-03-14,0,45
2022-03-15,0,63
2022-03-16,0,42
2022-03-17,34,0
2022-03-18,0,42
2022-03-19,0,0
2022-03-20,0,43
2022-03-21,0,0
2022-03-22,0,0
2022-03-23,0,0
2022-03-24,0,39
2022-03-25,0,0
2022-03-26,0,0
2022-03-27,0,0
2022-03-28,0,0
2022-03-29,0,0
2022-03-30,0,0
2022-03-31,0,0
2022-04-01,0,0
2022-04-02,0,0
2022-04-03,0,0
2022-04-04,0,49
2022-04-05,0,0
2022-04-06,0,39
2022-04-07,0,45
2022-04-08,0,0
2022-04-09,0,48
2022-04-10,0,0
2022-04-11,0,0
2022-04-12,0,0
2022-04-13,0,0
2022-04-14,0,0
2022-04-15,0,0
2022-04-16,0,0
2022-04-17,0,0
2022-04-18,0,53
2022-04-19,0,43
2022-04-20,0,61
2022-04-21,0,66
2022-04-22,0,0
2022-04-23,0,0
2022-04-24,0,0
2022-04-25,0,0
2022-04-26,0,0
2022-04-27,0,46
2022-04-28,0,44
2022-04-29,0,0
2022-04-30,0,0
2022-05-01,0,0
2022-05-02,0,0
2022-05-03,0,0
2022-05-04,0,0
2022-05-05,0,0
2022-05-06,0,0
2022-05-07,0,0
2022-05-08,0,0
2022-05-09,0,0
2022-05-10,0,0
2022-05-11,0,0
2022-05-12,0,0
2022-05-13,0,0
2022-05-14,0,0
2022-05-15,0,0
2022-05-16,0,0
2022-05-17,0,0
2022-05-18,0,0
2022-05-19,0,0
2022-05-20,0,0
2022-05-21,0,0
2022-05-22,0,0
2022-05-23,0,0
2022-05-24,0,0
2022-05-25,0,0
2022-05-26,0,0
2022-05-27,0,0
2022-05-28,0,0
