date,manila quarantine,quarantine meaning,home quarantine,general quarantine,quarantine tagalog,new_cases
2020-12-05,0,0,11,0,0,1672
2020-12-06,0,13,15,0,0,1701
2020-12-07,9,13,22,0,16,1529
2020-12-08,0,12,15,0,0,1353
2020-12-09,0,10,18,0,10,1350
2020-12-10,0,17,14,0,11,1329
2020-12-11,12,11,14,0,0,1462
2020-12-12,0,0,0,0,11,1258
2020-12-13,12,18,12,0,0,1008
2020-12-14,13,13,0,11,11,1281
2020-12-15,0,10,0,0,0,1101
2020-12-16,10,0,0,0,0,1108
2020-12-17,12,0,15,0,0,1417
2020-12-18,0,0,0,0,0,2056
2020-12-19,12,0,0,0,0,1431
2020-12-20,0,0,0,0,0,1680
2020-12-21,0,0,0,0,0,1640
2020-12-22,0,0,0,0,0,1261
2020-12-23,0,0,0,0,0,1164
2020-12-24,0,0,0,0,0,1729
2020-12-25,17,0,0,0,0,1828
2020-12-26,0,0,0,0,0,1355
2020-12-27,12,0,0,0,0,847
2020-12-28,25,24,0,94,12,744
2020-12-29,26,32,0,92,15,854
2020-12-30,22,0,0,16,0,977
2020-12-31,0,0,0,0,0,1484
2021-01-01,0,0,0,0,0,1700
2021-01-02,16,0,0,0,0,1065
2021-01-03,12,0,12,0,0,857
2021-01-04,11,0,11,0,0,930
2021-01-05,0,18,11,0,12,903
2021-01-06,0,16,0,0,0,1001
2021-01-07,0,20,0,0,17,1311
2021-01-08,13,22,12,0,0,1718
2021-01-09,14,17,11,0,0,1883
2021-01-10,0,14,0,0,0,1849
2021-01-11,0,17,14,0,0,1996
2021-01-12,13,10,12,0,12,1478
2021-01-13,11,15,19,0,12,1405
2021-01-14,0,20,0,0,12,1854
2021-01-15,10,0,0,0,0,1991
2021-01-16,0,20,0,0,0,2001
2021-01-17,13,11,0,0,0,1832
2021-01-18,16,17,16,0,10,2108
2021-01-19,18,14,14,0,0,1307
2021-01-20,10,0,15,0,16,1625
2021-01-21,10,11,16,0,13,1708
2021-01-22,12,17,14,0,0,2097
2021-01-23,0,0,0,0,0,1741
2021-01-24,0,0,0,0,0,1881
2021-01-25,10,12,0,0,9,1530
2021-01-26,14,9,14,11,11,1148
2021-01-27,13,10,12,0,0,2172
2021-01-28,9,12,9,0,10,1134
2021-01-29,12,13,10,38,12,1783
2021-01-30,15,0,0,22,0,2045
2021-01-31,12,12,17,14,13,2030
2021-02-01,15,12,10,11,0,1596
2021-02-02,14,9,13,13,11,1542
2021-02-03,0,13,0,0,15,1224
2021-02-04,17,17,0,0,15,1540
2021-02-05,10,12,11,0,0,1816
2021-02-06,0,13,12,0,0,1890
2021-02-07,0,15,0,0,13,1744
2021-02-08,0,19,10,0,10,1631
2021-02-09,12,0,11,0,14,1197
2021-02-10,9,11,12,0,0,1301
2021-02-11,0,0,0,0,0,1689
2021-02-12,17,11,0,0,0,1965
2021-02-13,0,0,11,0,13,1898
2021-02-14,13,0,0,0,0,1864
2021-02-15,0,0,12,0,0,1635
2021-02-16,14,12,13,0,9,1350
2021-02-17,13,0,9,0,9,1146
2021-02-18,12,10,0,0,0,1672
2021-02-19,0,13,0,18,0,1830
2021-02-20,0,0,0,0,11,2171
2021-02-21,13,0,0,0,0,1824
2021-02-22,18,0,0,0,0,2197
2021-02-23,10,10,0,0,0,1362
2021-02-24,0,0,0,0,13,1494
2021-02-25,0,0,13,0,10,2182
2021-02-26,11,10,0,0,0,2562
2021-02-27,13,0,0,15,0,2830
2021-02-28,11,16,0,0,0,2026
2021-03-01,10,0,0,0,0,1959
2021-03-02,16,9,9,0,0,1994
2021-03-03,18,0,11,0,9,1716
2021-03-04,12,9,0,0,0,2315
2021-03-05,12,0,10,0,0,2915
2021-03-06,0,0,12,0,0,3287
2021-03-07,0,0,12,0,0,3132
2021-03-08,14,0,0,0,0,3231
2021-03-09,15,0,11,0,0,2561
2021-03-10,12,9,0,0,0,2749
2021-03-11,12,12,12,0,0,3595
2021-03-12,11,0,0,0,0,4376
2021-03-13,15,0,0,0,0,4787
2021-03-14,21,0,0,0,0,4669
2021-03-15,22,13,12,0,0,5163
2021-03-16,14,11,0,0,0,4243
2021-03-17,22,15,16,0,0,4175
2021-03-18,0,14,15,0,0,5023
2021-03-19,14,10,10,0,0,6749
2021-03-20,15,0,14,0,0,7598
2021-03-21,26,31,14,80,17,7369
2021-03-22,16,13,12,17,0,7660
2021-03-23,12,0,17,0,0,5608
2021-03-24,0,0,0,11,0,6313
2021-03-25,12,13,13,0,11,8352
2021-03-26,14,13,13,0,0,9305
2021-03-27,31,42,15,0,24,9111
2021-03-28,16,20,11,12,11,8992
2021-03-29,20,29,18,20,12,9504
2021-03-30,0,16,9,27,0,8893
2021-03-31,14,22,17,16,17,5875
2021-04-01,0,12,13,0,0,8469
2021-04-02,22,0,0,0,12,14706
2021-04-03,15,0,0,0,0,12073
2021-04-04,21,19,12,0,0,10601
2021-04-05,18,20,21,16,0,8024
2021-04-06,13,33,0,10,13,8949
2021-04-07,0,13,14,0,0,6104
2021-04-08,17,10,11,0,0,8781
2021-04-09,0,13,14,0,11,11676
2021-04-10,23,0,0,0,0,12180
2021-04-11,42,100,18,48,73,11206
2021-04-12,15,18,9,0,13,10883
2021-04-13,0,22,0,10,0,8263
2021-04-14,10,15,13,0,12,7822
2021-04-15,13,12,9,0,12,10973
2021-04-16,10,16,16,0,11,10282
2021-04-17,18,14,0,11,0,10708
2021-04-18,0,14,15,0,0,9708
