date,manila quarantine,quarantine meaning,home quarantine,general quarantine,new_cases
2021-04-19,0,0,14,0,9298
2021-04-20,16,18,22,0,7136
2021-04-21,20,22,0,0,8884
2021-04-22,22,16,0,0,8455
2021-04-23,0,15,16,0,8405
2021-04-24,0,19,25,0,9347
2021-04-25,0,21,0,0,7844
2021-04-26,20,25,20,0,8605
2021-04-27,16,17,16,23,6986
2021-04-28,27,27,17,14,6686
2021-04-29,17,20,14,16,7958
2021-04-30,30,26,0,25,8484
2021-05-01,19,0,0,0,8939
2021-05-02,0,0,0,0,8121
2021-05-03,19,0,0,14,7029
2021-05-04,20,19,0,0,5510
2021-05-05,0,0,0,15,5476
2021-05-06,16,24,16,15,6421
2021-05-07,15,16,0,0,7511
2021-05-08,0,0,17,0,6767
2021-05-09,29,0,16,0,6944
2021-05-10,0,17,15,0,6642
2021-05-11,20,20,0,0,4597
2021-05-12,25,0,0,0,4715
2021-05-13,46,39,20,42,6153
2021-05-14,36,20,0,33,6574
2021-05-15,16,0,0,0,6555
2021-05-16,0,21,0,18,5616
2021-05-17,21,14,0,0,5807
2021-05-18,14,0,17,16,4365
2021-05-19,15,19,0,0,4552
2021-05-20,16,14,18,0,5904
2021-05-21,0,16,0,14,6076
2021-05-22,20,0,0,0,6657
2021-05-23,0,0,0,17,2978
2021-05-24,0,26,0,16,4826
2021-05-25,17,15,15,17,3887
2021-05-26,0,0,0,0,5174
2021-05-27,19,22,0,0,6317
2021-05-28,21,21,0,24,8499
2021-05-29,27,0,0,0,7230
2021-05-30,0,17,0,0,6869
2021-05-31,37,25,0,23,6522
2021-06-01,39,19,0,25,5048
2021-06-02,19,27,15,0,5099
2021-06-03,21,0,20,0,7038
2021-06-04,19,23,24,0,7268
2021-06-05,16,0,0,0,6769
2021-06-06,0,19,0,0,7016
2021-06-07,0,15,0,0,6388
2021-06-08,17,13,0,0,4661
2021-06-09,0,0,0,0,5329
2021-06-10,17,19,16,0,7300
2021-06-11,15,15,0,0,6486
2021-06-12,0,19,22,0,7840
2021-06-13,16,20,0,0,7101
2021-06-14,16,18,19,21,6262
2021-06-15,30,23,22,15,5268
2021-06-16,19,23,14,0,5275
2021-06-17,21,32,22,0,6475
2021-06-18,0,15,0,0,6674
2021-06-19,0,0,16,0,6782
2021-06-20,27,17,0,0,5663
2021-06-21,23,18,20,0,5065
2021-06-22,25,20,17,0,3616
2021-06-23,0,0,0,0,4249
2021-06-24,0,0,18,0,5854
2021-06-25,15,0,0,0,6623
2021-06-26,0,0,0,0,6733
2021-06-27,23,0,18,0,5937
2021-06-28,17,31,24,22,5462
2021-06-29,18,30,0,56,4357
2021-06-30,21,28,17,17,4393
2021-07-01,19,0,16,0,5674
2021-07-02,18,0,0,0,6048
2021-07-03,19,0,0,0,5748
2021-07-04,0,18,0,0,5827
2021-07-05,21,0,0,0,5267
2021-07-06,15,17,18,0,4018
2021-07-07,0,16,0,0,4196
2021-07-08,22,0,0,0,5346
2021-07-09,16,18,0,0,5748
2021-07-10,0,0,0,0,5524
2021-07-11,0,17,0,0,5796
2021-07-12,22,0,0,0,5065
2021-07-13,0,0,0,0,3513
2021-07-14,16,0,0,0,3711
2021-07-15,25,31,0,36,5104
2021-07-16,0,23,0,19,5531
2021-07-17,31,0,0,0,5862
2021-07-18,18,0,0,0,5262
2021-07-19,16,0,0,0,5486
2021-07-20,0,0,0,0,4381
2021-07-21,0,0,0,0,5678
2021-07-22,26,0,0,0,5204
2021-07-23,48,24,0,23,6183
2021-07-24,32,0,0,0,5978
2021-07-25,23,0,18,0,4775
2021-07-26,17,18,0,0,5918
2021-07-27,20,0,0,0,4413
2021-07-28,58,43,0,56,4045
2021-07-29,59,37,0,100,5588
2021-07-30,89,34,0,35,7949
2021-07-31,42,27,0,23,8071
2021-08-01,31,20,0,27,8660
2021-08-02,27,16,0,0,8081
2021-08-03,30,0,0,0,6807
2021-08-04,29,0,0,0,7264
2021-08-05,29,24,15,20,8051
2021-08-06,29,0,16,0,10510
2021-08-07,29,0,20,0,10898
2021-08-08,18,0,19,0,9561
2021-08-09,23,0,24,0,8811
2021-08-10,22,0,0,0,8462
2021-08-11,25,0,20,0,11878
2021-08-12,28,0,19,0,12275
2021-08-13,26,19,0,0,13007
2021-08-14,23,0,0,0,14081
2021-08-15,21,0,0,0,14574
2021-08-16,26,18,0,0,14429
2021-08-17,25,0,16,0,9911
2021-08-18,41,0,0,0,10951
2021-08-19,82,26,0,0,14707
2021-08-20,71,0,0,0,17006
2021-08-21,31,0,0,0,16470
2021-08-22,33,0,0,0,15869
2021-08-23,26,0,0,0,18123
2021-08-24,0,0,0,0,11912
2021-08-25,30,15,15,0,13429
2021-08-26,34,15,0,0,16121
2021-08-27,33,0,15,0,17248
2021-08-28,22,20,16,0,19202
2021-08-29,0,25,0,0,18314
2021-08-30,30,0,0,0,22093
2021-08-31,27,21,0,0,13685
