date,time pandemic,pandemic essay,bakuna,bureau quarantine,home quarantine,quarantine meaning,quarantine hotel,quarantine certificate,ofw quarantine,quarantine tagalog,new_cases
2022-01-13,54,38,63,33,17,10,16,0,0,0,28966
2022-01-14,42,31,63,25,11,10,18,0,0,0,36573
2022-01-15,44,37,40,25,12,0,16,0,10,0,38370
2022-01-16,45,31,48,17,14,13,14,0,0,0,36560
2022-01-17,44,28,63,25,11,9,11,0,8,0,36505
2022-01-18,38,31,47,35,18,8,14,0,0,0,28011
2022-01-19,36,24,42,27,12,9,14,0,0,0,22564
2022-01-20,45,28,49,31,16,0,12,7,7,0,30645
2022-01-21,41,28,43,31,14,9,9,0,0,0,32176
2022-01-22,37,25,32,12,14,0,11,0,0,8,30015
2022-01-23,53,38,29,21,9,9,11,0,0,0,29383
2022-01-24,63,35,36,35,9,9,9,11,8,7,24670
2022-01-25,55,40,37,33,0,0,9,7,6,0,17333
2022-01-26,56,29,33,31,7,6,11,0,0,6,15523
2022-01-27,45,35,34,30,8,8,8,12,7,7,17530
2022-01-28,42,30,41,26,8,0,8,7,13,0,18369
2022-01-29,28,18,26,21,11,0,10,0,11,0,17107
2022-01-30,35,22,29,18,9,0,0,0,0,0,16680
2022-01-31,38,27,27,24,7,8,0,0,0,0,14128
2022-02-01,39,26,28,26,0,8,8,0,10,0,9286
2022-02-02,38,23,29,34,8,0,6,7,0,0,7490
2022-02-03,45,30,36,24,8,0,0,0,0,9,8586
2022-02-04,35,22,27,26,0,0,0,0,0,0,8365
2022-02-05,30,28,36,17,0,0,0,0,0,0,7571
2022-02-06,49,25,31,15,0,8,0,0,0,0,7768
2022-02-07,54,30,32,25,0,7,0,0,0,0,6622
2022-02-08,59,36,36,27,5,0,6,0,0,0,3086
2022-02-09,76,47,35,34,8,7,0,0,0,0,3482
2022-02-10,50,33,33,28,0,0,0,0,0,0,4395
2022-02-11,50,34,39,28,0,0,0,0,0,0,3729
2022-02-12,57,37,25,20,0,0,0,0,0,0,3644
2022-02-13,67,42,29,16,10,8,0,0,0,0,3017
2022-02-14,60,36,26,40,6,0,5,0,0,5,2687
2022-02-15,81,54,43,28,7,6,4,0,0,0,1946
2022-02-16,85,60,48,24,5,0,0,0,0,0,1935
2022-02-17,76,58,42,26,9,7,0,5,0,0,2097
2022-02-18,83,58,48,30,9,6,0,0,5,7,2150
2022-02-19,74,53,34,10,6,7,0,0,0,7,1828
2022-02-20,93,59,38,13,12,7,0,0,0,0,1640
2022-02-21,73,59,29,24,10,9,0,0,0,5,1372
2022-02-22,78,49,39,30,11,6,4,0,0,5,967
2022-02-23,82,60,31,28,8,0,0,0,0,6,1482
2022-02-24,73,47,35,24,5,6,0,0,0,5,1696
2022-02-25,73,46,34,26,6,7,0,0,0,0,1616
2022-02-26,75,49,22,15,7,6,0,0,0,6,1164
2022-02-27,100,60,33,17,12,6,0,0,0,7,1011
2022-02-28,77,51,31,30,5,0,0,5,0,0,916
2022-03-01,87,50,37,27,0,8,0,0,0,7,1047
2022-03-02,79,48,36,27,9,6,0,0,0,0,828
2022-03-03,79,47,30,25,9,7,0,0,0,0,947
2022-03-04,72,46,28,27,6,7,0,0,0,0,812
2022-03-05,79,49,31,20,0,0,0,0,0,0,896
2022-03-06,80,51,33,19,5,0,7,0,0,0,834
2022-03-07,76,55,32,25,5,0,0,4,5,5,711
2022-03-08,81,53,40,17,5,0,0,0,0,0,431
2022-03-09,84,55,36,23,7,5,0,0,0,8,558
2022-03-10,83,54,40,25,5,6,5,5,0,0,576
2022-03-11,70,44,26,25,6,0,0,0,0,5,579
2022-03-12,67,47,32,9,8,6,0,0,0,0,628
2022-03-13,82,55,27,17,9,0,0,0,0,0,540
2022-03-14,74,49,30,26,7,5,8,4,0,6,536
2022-03-15,75,50,34,20,4,6,0,0,0,8,376
2022-03-16,74,48,28,26,7,9,0,0,0,5,372
2022-03-17,77,50,28,22,6,0,0,0,4,0,566
2022-03-18,68,44,32,17,6,0,0,0,0,5,523
2022-03-19,67,49,28,15,6,0,0,0,0,0,500
2022-03-20,67,52,30,18,7,0,0,0,0,5,538
2022-03-21,64,46,25,21,5,0,6,0,0,0,402
2022-03-22,70,45,33,23,7,9,5,5,0,0,281
2022-03-23,62,47,26,26,5,0,0,0,0,0,389
2022-03-24,65,48,30,23,0,7,0,0,0,5,423
2022-03-25,57,35,30,21,0,5,0,0,0,0,390
2022-03-26,57,33,29,17,0,0,0,0,0,0,425
2022-03-27,58,39,35,16,7,0,0,0,0,0,323
2022-03-28,51,46,25,23,0,5,0,5,0,0,368
2022-03-29,54,33,26,20,5,7,0,0,0,0,238
2022-03-30,69,48,29,29,6,4,0,6,0,0,300
2022-03-31,60,43,23,20,4,4,0,0,0,0,311
2022-04-01,57,41,29,18,4,7,0,0,0,0,342
2022-04-02,55,39,24,18,6,0,0,0,0,0,361
2022-04-03,56,38,31,13,5,0,0,0,0,0,653
2022-04-04,53,40,23,24,4,0,0,5,0,6,259
2022-04-05,54,41,28,18,0,0,0,0,0,0,218
2022-04-06,53,33,24,33,0,0,0,0,0,5,253
2022-04-07,62,45,28,43,4,4,0,0,0,6,263
2022-04-08,47,39,28,22,0,0,0,0,0,0,276
2022-04-09,51,35,20,11,0,5,0,0,0,6,288
2022-04-10,58,45,22,13,0,0,0,0,0,0,269
2022-04-11,45,27,23,23,0,6,0,0,0,0,263
2022-04-12,44,23,15,23,0,0,0,0,0,0,199
2022-04-13,31,24,24,19,0,0,0,0,0,0,224
2022-04-14,31,17,18,14,0,0,0,0,0,0,263
2022-04-15,37,20,15,10,0,0,0,0,0,0,266
2022-04-16,42,19,12,8,0,0,0,0,0,0,219
2022-04-17,45,30,14,11,0,0,0,0,0,0,192
2022-04-18,50,33,18,20,5,0,0,0,0,7,168
2022-04-19,49,37,22,19,0,0,0,0,0,5,151
2022-04-20,52,44,20,26,6,5,0,5,0,8,352
2022-04-21,57,36,21,22,0,5,0,0,0,8,127
2022-04-22,50,28,15,23,5,7,0,0,0,0,222
2022-04-23,55,36,15,13,5,0,0,0,0,0,198
2022-04-24,58,40,12,15,0,0,0,0,0,0,198
2022-04-25,59,37,18,23,0,0,0,0,0,0,174
2022-04-26,49,34,20,25,0,0,0,0,0,0,118
2022-04-27,48,31,19,21,5,5,5,0,0,6,191
2022-04-28,60,37,15,24,0,0,0,0,0,6,186
2022-04-29,40,26,16,14,0,6,0,0,0,0,180
2022-04-30,46,28,19,10,0,0,0,0,0,0,227
2022-05-01,36,26,13,14,0,0,0,0,0,0,249
2022-05-02,37,27,16,19,0,5,0,0,0,0,182
2022-05-03,44,22,7,22,0,0,0,0,0,0,132
2022-05-04,37,25,14,27,0,0,0,0,0,0,157
2022-05-05,28,23,15,27,6,5,0,0,0,0,167
2022-05-06,28,16,14,19,0,0,0,0,0,0,143
2022-05-07,34,20,8,11,0,0,0,6,0,0,173
2022-05-08,22,9,0,9,0,0,0,0,0,0,148
2022-05-09,22,11,7,7,0,0,0,0,0,0,176
2022-05-10,28,22,11,21,5,0,0,4,0,0,121
2022-05-11,45,24,14,19,6,0,0,0,0,0,107
2022-05-12,37,26,15,26,0,0,0,7,0,0,137
2022-05-13,34,16,9,21,6,0,0,0,0,0,169
2022-05-14,35,24,0,12,0,6,0,0,0,0,166
2022-05-15,49,34,16,14,0,7,0,0,0,0,200
2022-05-16,48,29,18,22,0,0,0,0,0,0,154
2022-05-17,51,31,19,26,0,9,0,0,0,0,108
2022-05-18,48,34,13,23,6,7,0,0,0,0,102
2022-05-19,50,33,25,25,0,6,0,0,0,0,187
2022-05-20,37,25,16,15,0,0,0,0,0,0,209
2022-05-21,39,23,18,13,0,7,0,0,0,0,243
2022-05-22,51,27,13,14,7,0,0,0,0,0,185
2022-05-23,60,44,13,22,6,0,0,0,0,0,184
2022-05-24,50,30,19,24,0,6,0,0,0,0,145
2022-05-25,43,28,13,23,5,0,0,0,0,0,170
2022-05-26,52,33,19,20,0,6,0,0,0,0,194
2022-05-27,42,27,15,12,0,0,0,0,0,0,202
2022-05-28,40,20,13,14,0,0,0,0,0,0,193
